ticker,z_score,model_used,risk_category,calculation_date,data_quality_score,warnings_count,warnings,working_capital_ratio,retained_earnings_ratio,ebit_ratio,book_equity_ratio,ai_llm_commentary_available,ai_llm_commentary_length,ai_overall_confidence,ai_recommendations_count
GPN,1.304628688478995,service,Gray Zone,2025-03-31,1.0,0,,-0.008448737912335797,0.1054127777689339,0.00988919589518723,0.9047155783252715,True,15707,0.85,0
GPN,1.4010728015005531,service,Gray Zone,2024-12-31,1.0,0,,-0.0046074392216463745,0.10182789579625873,0.01776804156855193,0.9332737363410295,True,15707,0.85,0
GPN,1.1746126204438394,service,Gray Zone,2024-09-30,1.0,0,,-0.01255945558187523,0.08542210299735856,0.010430572895186627,0.8651744223179979,True,15707,0.85,0
GPN,1.0925765682667652,service,Gray Zone,2024-06-30,1.0,0,,-0.015349475385854528,0.07917312599791324,0.01238022233458526,0.8113996590060579,True,15707,0.85,0
GPN,0.9951740000058662,service,Gray Zone,2024-03-31,1.0,0,,-0.0163416723402817,0.07159615449615885,0.008734991477505926,0.7716883468302823,True,15707,0.85,0
GPN,1.1840683344077847,service,Gray Zone,2023-12-31,1.0,0,,-0.0010276806179830937,0.06836403567904614,0.00986185813119216,0.8587347393394781,True,15707,0.85,0
GPN,1.2765467911027744,service,Gray Zone,2023-09-30,1.0,0,,0.011397802802904592,0.06460358749958227,0.011409310305111303,0.8709513754445086,True,15707,0.85,0
GPN,1.2551207386763734,service,Gray Zone,2023-06-30,1.0,0,,0.008322007822079263,0.059476628464526504,0.012517756684820714,0.8785859368068398,True,15707,0.85,0
