ticker,z_score,model_used,risk_category,calculation_date,data_quality_score,warnings_count,warnings,working_capital_ratio,retained_earnings_ratio,ebit_ratio,market_equity_ratio,book_equity_ratio,asset_turnover,_calculation_metadata,ai_llm_commentary_available,ai_llm_commentary_length,ai_overall_confidence,ai_recommendations_count,forecast_available,forecast_scenarios_count,forecast_base_z_score,forecast_base_risk_category,forecast_base_confidence,forecast_z_score_min,forecast_z_score_max,forecast_z_score_avg,forecast_avg_confidence,analyst_coverage_quality,forecast_timestamp
IFF,0.7713796533355609,original,Distress,2025-03-31,1.0,0,,0.14243764372899345,-0.13178843092163453,-0.03194763842207678,1.3163362168482593,0.8754318363008238,0.10058376083495489,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 28265000000, 'total_liabilities': 15052000000}",True,18620,0.85,0,True,3,0.914,DISTRESS,0.917,0.914,0.915,0.9143333333333334,0.7949999999999999,0.622,2025-07-23 17:31:19.187720
IFF,0.9429142000032358,original,Distress,2024-12-31,1.0,0,,0.12767293403565075,-0.09087103638329787,0.00443018104440646,1.342741443209542,0.940363242071022,0.09666166672480553,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 28667000000, 'total_liabilities': 14756000000}",True,18620,0.85,0,True,3,0.914,DISTRESS,0.917,0.914,0.915,0.9143333333333334,0.7949999999999999,0.622,2025-07-23 17:31:19.187720
IFF,1.0053092199728986,original,Distress,2024-09-30,1.0,0,,0.17391740176423418,-0.08209703287890938,0.008319967923015236,1.310589544648763,0.9773118137319752,0.0977345629510826,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 29928000000, 'total_liabilities': 15118000000}",True,18620,0.85,0,True,3,0.914,DISTRESS,0.917,0.914,0.915,0.9143333333333334,0.7949999999999999,0.622,2025-07-23 17:31:19.187720
IFF,0.9925885863519317,original,Distress,2024-06-30,1.0,0,,0.1599025149781674,-0.08171140371661646,0.011474799444876959,1.2990750548124836,0.9345659585628114,0.09778966252580984,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 29543000000, 'total_liabilities': 15252000000}",True,18620,0.85,0,True,3,0.914,DISTRESS,0.917,0.914,0.915,0.9143333333333334,0.7949999999999999,0.622,2025-07-23 17:31:19.187720
IFF,0.8389676199613216,original,Distress,2024-03-31,1.0,0,,0.08442660400757131,-0.08096729978460936,0.008419815938907381,1.2143596920813926,0.8758886982103457,0.0946087070034593,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 30642000000, 'total_liabilities': 16316000000}",True,18620,0.85,0,True,3,0.914,DISTRESS,0.917,0.914,0.915,0.9143333333333334,0.7949999999999999,0.622,2025-07-23 17:31:19.187720
IFF,0.5327983473056137,original,Distress,2023-12-31,1.0,0,,0.08183226806120472,-0.07873329459616502,-0.0818645490347989,1.2128729637610187,0.8944049951028403,0.08725547162502421,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 30978000000, 'total_liabilities': 16336000000}",True,18620,0.85,0,True,3,0.914,DISTRESS,0.917,0.914,0.915,0.9143333333333334,0.7949999999999999,0.622,2025-07-23 17:31:19.187720
IFF,0.9405905446684604,original,Distress,2023-09-30,1.0,0,,0.08108998353046863,0.011319059739481958,0.004491690372810301,1.2136158725958595,1.0418351096410634,0.08444377900883365,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 33395000000, 'total_liabilities': 16326000000}",True,18620,0.85,0,True,3,0.914,DISTRESS,0.917,0.914,0.915,0.9143333333333334,0.7949999999999999,0.622,2025-07-23 17:31:19.187720
IFF,0.9188703721757643,original,Distress,2023-06-30,1.0,0,,0.07266606692010795,0.016251197074784528,0.004207899242578137,1.1833896396105836,1.0544705249955204,0.08499956470007836,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 34459000000, 'total_liabilities': 16743000000}",True,18620,0.85,0,True,3,0.914,DISTRESS,0.917,0.914,0.915,0.9143333333333334,0.7949999999999999,0.622,2025-07-23 17:31:19.187720
