ticker,z_score,model_used,risk_category,calculation_date,data_quality_score,warnings_count,warnings,working_capital_ratio,retained_earnings_ratio,ebit_ratio,book_equity_ratio,ai_llm_commentary_available,ai_llm_commentary_length,ai_overall_confidence,ai_recommendations_count,forecast_available,forecast_scenarios_count,forecast_base_z_score,forecast_base_risk_category,forecast_base_confidence,forecast_z_score_min,forecast_z_score_max,forecast_z_score_avg,forecast_avg_confidence,analyst_coverage_quality,forecast_timestamp
T,0.2923876580690682,service,Distress,2025-03-31,1.0,0,,-0.035774039102617325,0.010604653971273087,0.014476673535161409,0.3763913680758123,True,18486,0.85,0,True,3,0.349,DISTRESS,0.992,0.349,0.35,0.34933333333333333,0.86,0.645,2025-07-12 11:36:48.763027
T,0.2973530269865197,service,Distress,2024-12-31,1.0,0,,-0.03977760609936803,0.004739168429184767,0.013490545726262997,0.43065520632261356,True,18486,0.85,0,True,3,0.349,DISTRESS,0.992,0.349,0.35,0.34933333333333333,0.86,0.645,2025-07-12 11:36:48.763027
T,0.2437990173308674,service,Distress,2024-09-30,1.0,0,,-0.02758058412217851,-0.00046987826343153366,0.005374391380654731,0.3715652783172813,True,18486,0.85,0,True,3,0.349,DISTRESS,0.992,0.349,0.35,0.34933333333333333,0.86,0.645,2025-07-12 11:36:48.763027
T,0.21005946769734218,service,Distress,2024-06-30,1.0,0,,-0.04509755644103652,5.024797375045852e-06,0.015813037339269295,0.3805899487535327,True,18486,0.85,0,True,3,0.349,DISTRESS,0.992,0.349,0.35,0.34933333333333333,0.86,0.645,2025-07-12 11:36:48.763027
T,0.24290465422074853,service,Distress,2024-03-31,1.0,0,,-0.03602401434050693,-0.003930620787726448,0.014638432959131559,0.3749197548353315,True,18486,0.85,0,True,3,0.349,DISTRESS,0.992,0.349,0.35,0.34933333333333333,0.86,0.645,2025-07-12 11:36:48.763027
T,0.1875228643726073,service,Distress,2023-12-31,1.0,0,,-0.036036456542033114,-0.012320051098118213,0.012948951014592444,0.3591127952858558,True,18486,0.85,0,True,3,0.349,DISTRESS,0.992,0.349,0.35,0.34933333333333333,0.86,0.645,2025-07-12 11:36:48.763027
T,0.15826122451543637,service,Distress,2023-09-30,1.0,0,,-0.03949859600981564,-0.01771093046929171,0.014216937383513074,0.36149697947858095,True,18486,0.85,0,True,3,0.349,DISTRESS,0.992,0.349,0.35,0.34933333333333333,0.86,0.645,2025-07-12 11:36:48.763027
T,0.10759833287931841,service,Distress,2023-06-30,1.0,0,,-0.042812759362766344,-0.026191507958075958,0.015683567019950887,0.3508959808269745,True,18486,0.85,0,True,3,0.349,DISTRESS,0.992,0.349,0.35,0.34933333333333333,0.86,0.645,2025-07-12 11:36:48.763027
