month,avg_price,min_price,max_price,days_with_data
2024-04-01,183.1597109707919,173.5915985107422,193.6005096435547,22
2024-05-01,188.1540985107422,177.83831787109375,195.3800048828125,22
2024-06-01,192.13263341000206,184.22000122070312,201.7100067138672,19
2024-07-01,204.4745434847745,197.2100067138672,214.75999450683594,22
2024-08-01,212.24045354669744,199.02999877929688,219.7100067138672,22
2024-09-01,221.94249954223633,211.3300018310547,230.92999267578125,20
2024-10-01,230.19000111455503,218.1300048828125,242.30999755859375,23
2024-11-01,234.06100006103514,228.30999755859375,240.19000244140625,20
2024-12-01,250.1085706438337,241.58999633789062,255.5399932861328,21
2025-01-01,262.54599838256837,241.39999389648438,279.3599853515625,20
2025-02-01,284.2484211168791,272.55999755859375,293.69000244140625,19
2025-03-01,271.1854995727539,255.19000244140625,286.7300109863281,20
