ticker,z_score,model_used,risk_category,calculation_date,data_quality_score,warnings_count,warnings,working_capital_ratio,retained_earnings_ratio,ebit_ratio,book_equity_ratio,asset_turnover,ai_llm_commentary_available,ai_llm_commentary_length,ai_overall_confidence,ai_recommendations_count
PROG,-65.97797311842591,private,Distress,2024-09-30,0.8,1,Market data not available - may affect model selection,-7.898241985522234,-66.67245777318166,-1.118717683557394,-0.8802565753628213,0.0022061358152361253,True,13708,0.85,0
PROG,-48.45926866335372,private,Distress,2024-06-30,0.8,1,Market data not available - may affect model selection,-2.0145649674204678,-51.94557301648141,-0.8643705853364726,-0.8302458521169308,0.017412254284619174,True,13708,0.85,0
PROG,-38.75959369475509,private,Distress,2024-03-31,0.8,1,Market data not available - may affect model selection,-1.6108307959982602,-41.54619399739017,-0.6749021313614615,-0.8133549827481226,0.02357546759460635,True,13708,0.85,0
PROG,-28.433537502319254,private,Distress,2023-12-31,0.8,1,Market data not available - may affect model selection,-1.4064071760371617,-30.464776549735703,-0.42748678519942335,-0.7646566543019995,0.027935287522024666,True,13708,0.85,0
PROG,-26.286136260688476,private,Distress,2023-09-30,0.8,2,Revenue missing - asset turnover cannot be calculated; Market data not available - may affect model selection,-1.4493559634613722,-26.958620292193757,-0.6720168285162667,-0.7739056219012438,0.0,True,13708,0.85,0
PROG,-15.986309354282465,private,Distress,2023-06-30,0.8,1,Market data not available - may affect model selection,-0.07615807380266945,-17.355323817768205,-0.30064622632013366,-0.7087549984169237,4.026332212670867e-05,True,13708,0.85,0
PROG,-14.454008264549415,private,Distress,2023-03-31,0.8,1,Market data not available - may affect model selection,0.22697819431662378,-15.8571831038822,-0.2919444809646338,-0.6635322072029373,3.756362338711192e-05,True,13708,0.85,0
PROG,-13.961000019008523,private,Distress,2022-12-31,0.8,1,Market data not available - may affect model selection,0.2767118169079869,-15.447790751985053,-0.25737505838393276,-0.6564770364285164,0.00026156001868285847,True,13708,0.85,0
