week,avg_price,min_price,max_price,days_with_data
2024-04-01,0.7491999983787536,0.7269999980926514,0.7699999809265137,5
2024-04-08,0.7156000018119812,0.6700000166893005,0.7369999885559082,5
2024-04-15,0.6299999833106995,0.621999979019165,0.6359999775886536,5
2024-04-22,0.6503999948501586,0.621999979019165,0.6800000071525574,5
2024-04-29,0.6574000000953675,0.6299999952316284,0.6949999928474426,5
2024-05-06,0.8027999997138977,0.7200000286102295,0.8709999918937683,5
2024-05-13,0.9406000018119812,0.8899999856948853,1.0199999809265137,5
2024-05-20,0.9664000034332275,0.8960000276565552,1.0199999809265137,5
2024-05-27,1.0699999928474426,1.0099999904632568,1.1399999856948853,4
2024-06-03,1.1180000066757203,1.100000023841858,1.1699999570846558,5
2024-06-10,1.0371999859809875,0.9860000014305115,1.090000033378601,5
2024-06-17,1.1324999928474426,1.0299999713897705,1.25,4
2024-06-24,1.2779999732971192,1.2300000190734863,1.309999942779541,5
2024-07-01,1.2350000143051147,1.2000000476837158,1.2699999809265137,4
2024-07-08,1.3960000276565552,1.3300000429153442,1.5099999904632568,5
2024-07-15,1.6700000286102294,1.5800000429153442,1.7300000190734863,5
2024-07-22,1.6619999885559082,1.600000023841858,1.7300000190734863,5
2024-07-29,1.8139999628067016,1.6699999570846558,1.9199999570846558,5
2024-08-05,1.8130000114440918,1.6649999618530273,1.8799999952316284,5
2024-08-12,2.374000000953674,1.8700000047683716,2.8299999237060547,5
2024-08-19,3.2959999561309816,3.0999999046325684,3.5,5
2024-08-26,3.015999984741211,2.630000114440918,3.3299999237060547,5
2024-09-02,2.633750021457672,2.5,2.865000009536743,4
2024-09-09,2.6920000076293946,2.509999990463257,2.990000009536743,5
2024-09-16,3.0179999828338624,2.9100000858306885,3.0899999141693115,5
2024-09-23,2.888000011444092,2.819999933242798,2.9600000381469727,5
2024-09-30,3.4459999561309815,2.7799999713897705,4.039999961853027,5
2024-10-07,3.8760000705718993,3.690000057220459,4.070000171661377,5
2024-10-14,4.138000011444092,4.0,4.260000228881836,5
2024-10-21,3.8980000019073486,3.7799999713897705,4.059999942779541,5
2024-10-28,4.088000011444092,4.019999980926514,4.199999809265137,5
2024-11-04,4.016000032424927,3.4100000858306885,4.349999904632568,5
2024-11-11,3.171999979019165,3.0399999618530273,3.3299999237060547,5
2024-11-18,3.3139999389648436,3.2100000381469727,3.369999885559082,5
2024-11-25,3.4475000500679016,3.4000000953674316,3.490000009536743,4
2024-12-02,3.408000040054321,3.359999895095825,3.430000066757202,5
2024-12-09,3.1399999618530274,3.0,3.299999952316284,5
2024-12-16,3.1800000190734865,3.119999885559082,3.2300000190734863,5
2024-12-23,3.2574999928474426,3.190000057220459,3.309999942779541,4
2024-12-30,3.190000057220459,3.130000114440918,3.2899999618530273,4
2025-01-06,3.565000057220459,3.380000114440918,3.640000104904175,4
2025-01-13,3.918000030517578,3.7200000286102295,4.079999923706055,5
2025-01-20,4.512499928474426,4.239999771118164,4.820000171661377,4
2025-01-27,4.49399995803833,4.389999866485596,4.610000133514404,5
2025-02-03,4.439999961853028,4.309999942779541,4.659999847412109,5
2025-02-10,4.457999992370605,4.380000114440918,4.539999961853027,5
2025-02-17,4.462499976158142,4.400000095367432,4.550000190734863,4
2025-02-24,4.187999963760376,3.9700000286102295,4.329999923706055,5
2025-03-03,3.700000047683716,3.640000104904175,3.8299999237060547,5
2025-03-10,3.4960000038146974,3.359999895095825,3.6600000858306885,5
2025-03-17,3.7200000286102295,3.6600000858306885,3.809999942779541,5
2025-03-24,3.7399999618530275,3.5899999141693115,3.869999885559082,5
2025-03-31,3.5219999313354493,3.3299999237060547,3.5899999141693115,5
2025-04-07,3.5320000648498535,3.2100000381469727,3.680000066757202,5
2025-04-14,3.6675000190734863,3.5999999046325684,3.7200000286102295,4
2025-04-21,3.412000036239624,3.319999933242798,3.4700000286102295,5
2025-04-28,3.3960000038146974,3.319999933242798,3.4700000286102295,5
2025-05-05,3.5459999561309816,3.3499999046325684,3.7699999809265137,5
2025-05-12,3.428000020980835,3.309999942779541,3.549999952316284,5
2025-05-19,3.455999994277954,3.190000057220459,3.690000057220459,5
2025-05-26,3.1566667556762695,3.130000114440918,3.2100000381469727,3
