ticker,z_score,model_used,risk_category,calculation_date,data_quality_score,warnings_count,warnings,working_capital_ratio,retained_earnings_ratio,ebit_ratio,market_equity_ratio,book_equity_ratio,asset_turnover,_calculation_metadata,ai_llm_commentary_available,ai_llm_commentary_length,ai_overall_confidence,ai_recommendations_count,forecast_available,forecast_scenarios_count,forecast_base_z_score,forecast_base_risk_category,forecast_base_confidence,forecast_z_score_min,forecast_z_score_max,forecast_z_score_avg,forecast_avg_confidence,analyst_coverage_quality,forecast_timestamp
CE,1.1122057440579984,original,Distress,2025-03-31,1.0,0,,0.11298874854507049,0.47747553562960726,0.007242315816700436,0.3021106640882721,0.2949607553179388,0.10298745527438893,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 23197000000, 'total_liabilities': 17582000000}",True,21037,0.85,0,True,3,1.126,DISTRESS,0.916,1.125,1.126,1.1256666666666666,0.794,0.625,2025-08-02 20:34:25.112322
CE,0.8333262216636905,original,Distress,2024-12-31,1.0,0,,0.05652535328345802,0.48562803517521985,-0.06146913418208864,0.30796090538033394,0.3000347866419295,0.10368814805092531,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 22857000000, 'total_liabilities': 17248000000}",True,21037,0.85,0,True,3,1.126,DISTRESS,0.916,1.125,1.126,1.1256666666666666,0.794,0.625,2025-08-02 20:34:25.112322
CE,1.0887790972971558,original,Distress,2024-09-30,1.0,0,,0.05974818476749575,0.5056001853854473,0.009578248107523559,0.29226970925497964,0.4002421041047651,0.1022709717287193,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 25892000000, 'total_liabilities': 18174000000}",True,21037,0.85,0,True,3,1.126,DISTRESS,0.916,1.125,1.126,1.1256666666666666,0.794,0.625,2025-08-02 20:34:25.112322
CE,1.0861044541838811,original,Distress,2024-06-30,1.0,0,,0.04951185495118549,0.5056175422284209,0.012436076243607624,0.29180408152502335,0.39367137285062903,0.10270416860375019,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 25812000000, 'total_liabilities': 18203000000}",True,21037,0.85,0,True,3,1.126,DISTRESS,0.916,1.125,1.126,1.1256666666666666,0.794,0.625,2025-08-02 20:34:25.112322
CE,1.0438467902643294,original,Distress,2024-03-31,1.0,0,,0.039181039449928935,0.49832904390581184,0.008066684592632429,0.28708840644254674,0.3821749000108096,0.1002957784350632,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 26033000000, 'total_liabilities': 18502000000}",True,21037,0.85,0,True,3,1.126,DISTRESS,0.916,1.125,1.126,1.1256666666666666,0.794,0.625,2025-08-02 20:34:25.112322
CE,1.0734402970844301,original,Distress,2023-12-31,1.0,0,,0.08068579163063504,0.4861074557280896,0.009737940369214573,0.2789031082173799,0.3723286951955894,0.0965898409595067,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 26597000000, 'total_liabilities': 19045000000}",True,21037,0.85,0,True,3,1.126,DISTRESS,0.916,1.125,1.126,1.1256666666666666,0.794,0.625,2025-08-02 20:34:25.112322
CE,1.1683142806396822,original,Distress,2023-09-30,1.0,0,,0.08892630589709452,0.481948468948234,0.032970475370036806,0.28574477895529615,0.3491850018828339,0.10662542094134231,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 25538000000, 'total_liabilities': 18589000000}",True,21037,0.85,0,True,3,1.126,DISTRESS,0.916,1.125,1.126,1.1256666666666666,0.794,0.625,2025-08-02 20:34:25.112322
CE,1.0480575751783827,original,Distress,2023-06-30,1.0,0,,0.09084174821630472,0.4457483722562283,0.013060938048266989,0.27154591769336944,0.2875108634527887,0.10897110998479473,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 25649000000, 'total_liabilities': 19561000000}",True,21037,0.85,0,True,3,1.126,DISTRESS,0.916,1.125,1.126,1.1256666666666666,0.794,0.625,2025-08-02 20:34:25.112322
