Date,Dividends
2001-03-21 00:00:00-05:00,0.30475
2001-08-10 00:00:00-04:00,0.01825
2002-03-20 00:00:00-05:00,0.226
2002-11-07 00:00:00-05:00,0.055
2003-03-25 00:00:00-05:00,0.10575
2003-11-21 00:00:00-05:00,0.25475
2004-03-25 00:00:00-05:00,0.1855
2004-09-28 00:00:00-04:00,0.2615
2005-07-01 00:00:00-04:00,0.209
2006-01-03 00:00:00-05:00,0.21075
2006-04-04 00:00:00-04:00,0.27375
2006-11-01 00:00:00-05:00,0.4675
2007-01-03 00:00:00-05:00,0.22575
2007-04-03 00:00:00-04:00,0.1675
2007-08-20 00:00:00-04:00,0.276
2007-10-05 00:00:00-04:00,0.292
2008-01-14 00:00:00-05:00,0.183
2008-04-07 00:00:00-04:00,0.1155
2008-12-29 00:00:00-05:00,0.799
2009-04-09 00:00:00-04:00,0.287
2009-07-06 00:00:00-04:00,0.342
2009-10-01 00:00:00-04:00,0.224
2009-12-23 00:00:00-05:00,0.223
2010-04-23 00:00:00-04:00,0.275
2010-05-24 00:00:00-04:00,0.22
2010-08-02 00:00:00-04:00,0.227
2010-11-03 00:00:00-04:00,0.162
2010-12-22 00:00:00-05:00,0.239
2011-03-22 00:00:00-04:00,0.188
2011-05-04 00:00:00-04:00,0.153
2011-05-12 00:00:00-04:00,0.252
2011-08-04 00:00:00-04:00,0.256
2011-11-14 00:00:00-05:00,0.235
2012-01-03 00:00:00-05:00,0.215
2012-03-20 00:00:00-04:00,0.136
2012-05-14 00:00:00-04:00,0.209
2013-04-30 00:00:00-04:00,0.27
2014-04-03 00:00:00-04:00,0.444
2018-05-22 00:00:00-04:00,0.028
2018-08-14 00:00:00-04:00,0.027
2018-11-23 00:00:00-05:00,0.053
2018-12-28 00:00:00-05:00,0.026
2019-05-22 00:00:00-04:00,0.051
2019-11-12 00:00:00-05:00,0.099
2020-07-23 00:00:00-04:00,0.087
2021-04-15 00:00:00-04:00,0.286
2021-08-17 00:00:00-04:00,0.621
2021-12-02 00:00:00-05:00,1.173
2022-04-14 00:00:00-04:00,1.219
2022-05-24 00:00:00-04:00,1.468
2022-08-12 00:00:00-04:00,2.59
2022-11-22 00:00:00-05:00,1.296
2023-04-28 00:00:00-04:00,1.157
2023-06-13 00:00:00-04:00,0.763
2023-08-22 00:00:00-04:00,0.471
2023-11-22 00:00:00-05:00,0.548
2024-05-03 00:00:00-04:00,0.674
2024-08-23 00:00:00-04:00,0.386
2024-12-13 00:00:00-05:00,0.534
2024-12-27 00:00:00-05:00,0.463
2025-04-22 00:00:00-04:00,0.259
