quarter_end,zscore,valid,error,diagnostic,model,api_payload
2022-12-31,9.523296966182093574854707841,True,,Safe Zone,original,
2023-12-31,,False,No usable financial data for this quarter. All required fields are missing or zero.,[ERROR] All required fields missing or zero.,original,
2024-03-31,32.52119784174596628262731350,True,,Safe Zone,original,
2024-06-30,32.28297329015041289816040322,True,,Safe Zone,original,
2024-09-30,42.75170212072631883257305625,True,,Safe Zone,original,
2024-12-31,82.30672516626135733836618979,True,,Safe Zone,original,
2025-03-31,94.21853527701803472026879607,True,,Safe Zone,original,
