Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02 00:00:00-05:00,0.4673362970352173,0.47188827305234415,0.46278432101809036,0.4673362970352173,163200,0.0,0.0
1962-01-03 00:00:00-05:00,0.4673365635621253,0.47188854217529297,0.4627845849489576,0.47188854217529297,156000,0.0,0.0
1962-01-04 00:00:00-05:00,0.48250946749895246,0.4976826285836971,0.48250946749895246,0.484026700258255,355200,0.0,0.0
1962-01-05 00:00:00-05:00,0.48402655343809076,0.4946480130231118,0.48250932113901146,0.48857852816581726,163200,0.0,0.0
1962-01-08 00:00:00-05:00,0.4885785560526933,0.4961652736420985,0.4855440912813349,0.4916132986545563,204000,0.0,0.0
1962-01-09 00:00:00-05:00,0.49161338915518665,0.5007173408062087,0.4870614133296757,0.49616536498069763,290400,0.0,0.0
1962-01-10 00:00:00-05:00,0.4961654507756932,0.49920019446097513,0.48857873047779016,0.49009624123573303,182400,0.0,0.0
1962-01-11 00:00:00-05:00,0.4900961600035886,0.4976826012134552,0.48554418414544553,0.4976826012134552,384000,0.0,0.0
1962-01-12 00:00:00-05:00,0.4976821840289631,0.5067861281138242,0.49161298058249736,0.5007169246673584,352800,0.0,0.0
1962-01-15 00:00:00-05:00,0.5007175176819881,0.5037522619145212,0.49161356281504287,0.4992002844810486,280800,0.0,0.0
1962-01-16 00:00:00-05:00,0.4976733283663432,0.4976733283663432,0.4915667219495137,0.49462002515792847,163200,0.010417,0.0
1962-01-17 00:00:00-05:00,0.4946202415262716,0.5007265710845474,0.49156693698220905,0.49309372901916504,160800,0.0,0.0
1962-01-18 00:00:00-05:00,0.4930933328957591,0.5037794709205627,0.4930933328957591,0.5037794709205627,261600,0.0,0.0
1962-01-19 00:00:00-05:00,0.5037799956543104,0.5129396319389343,0.4946203593696866,0.5129396319389343,357600,0.0,0.0
1962-01-22 00:00:00-05:00,0.5129396699702167,0.5190460014360737,0.5114131569862366,0.5114131569862366,261600,0.0,0.0
1962-01-23 00:00:00-05:00,0.5114131287160415,0.5159929469447525,0.5007266998291016,0.5007266998291016,223200,0.0,0.0
1962-01-24 00:00:00-05:00,0.5007267761884769,0.5007267761884769,0.4885141120694659,0.49767374992370605,120000,0.0,0.0
