Date,Dividends
1999-07-20 00:00:00-04:00,0.012888
1999-12-22 00:00:00-05:00,0.020147
2000-06-22 00:00:00-04:00,0.01533
2000-12-26 00:00:00-05:00,0.025302
2001-07-19 00:00:00-04:00,0.011871
2001-12-27 00:00:00-05:00,0.030322
2002-06-26 00:00:00-04:00,0.017501
2002-12-26 00:00:00-05:00,0.018654
2003-03-31 00:00:00-05:00,0.013024
2003-07-08 00:00:00-04:00,0.010582
2003-10-08 00:00:00-04:00,0.01552
2003-12-26 00:00:00-05:00,0.030688
2004-03-31 00:00:00-05:00,0.019489
2004-07-01 00:00:00-04:00,0.036684
2004-08-16 00:00:00-04:00,0.026631
2004-11-04 00:00:00-05:00,0.032451
2005-02-14 00:00:00-05:00,0.064198
2005-05-16 00:00:00-04:00,0.048413
2005-08-16 00:00:00-04:00,0.055026
2005-11-21 00:00:00-05:00,0.053968
2006-02-21 00:00:00-05:00,0.050529
2006-08-15 00:00:00-04:00,0.063492
2007-02-22 00:00:00-05:00,0.06627
2007-05-15 00:00:00-04:00,0.068254
2007-08-20 00:00:00-04:00,0.05873
2007-11-23 00:00:00-05:00,0.075
2008-02-25 00:00:00-05:00,0.065873
2008-05-23 00:00:00-04:00,0.096825
2008-08-18 00:00:00-04:00,0.180952
2008-11-17 00:00:00-05:00,0.066667
2009-03-03 00:00:00-05:00,0.013492
2009-11-12 00:00:00-05:00,0.03254
2009-11-18 00:00:00-05:00,0.034127
2010-01-04 00:00:00-05:00,0.080952
2010-05-18 00:00:00-04:00,0.050794
2010-08-17 00:00:00-04:00,0.063492
2010-11-17 00:00:00-05:00,0.095238
2011-03-15 00:00:00-04:00,0.028571
2011-05-20 00:00:00-04:00,0.029365
2011-08-16 00:00:00-04:00,0.044444
2011-11-22 00:00:00-05:00,0.053968
2012-02-28 00:00:00-05:00,0.036508
2012-05-14 00:00:00-04:00,0.024603
2012-08-14 00:00:00-04:00,0.034921
2013-03-05 00:00:00-05:00,0.007937
2013-05-20 00:00:00-04:00,0.007937
2013-08-13 00:00:00-04:00,0.024603
2013-11-12 00:00:00-05:00,0.043651
2014-03-06 00:00:00-05:00,0.02381
2014-05-22 00:00:00-04:00,0.025397
2014-08-12 00:00:00-04:00,0.021429
2014-11-18 00:00:00-05:00,0.015873
2015-03-17 00:00:00-04:00,0.019048
2015-05-21 00:00:00-04:00,0.015873
2015-08-25 00:00:00-04:00,0.011111
2015-11-10 00:00:00-05:00,0.007937
2016-08-23 00:00:00-04:00,0.007937
2016-11-22 00:00:00-05:00,0.004762
2017-08-22 00:00:00-04:00,0.004762
2017-11-22 00:00:00-05:00,0.007143
2018-03-09 00:00:00-05:00,0.007143
2018-05-23 00:00:00-04:00,0.018254
2018-08-23 00:00:00-04:00,0.029365
2018-11-23 00:00:00-05:00,0.027778
2019-03-08 00:00:00-05:00,0.021429
2019-05-21 00:00:00-04:00,0.014286
2019-08-19 00:00:00-04:00,0.014286
2019-11-12 00:00:00-05:00,0.007937
2020-03-02 00:00:00-05:00,0.005556
2020-11-09 00:00:00-05:00,0.016667
2020-12-22 00:00:00-05:00,0.02619
2021-03-12 00:00:00-05:00,0.019048
2021-05-17 00:00:00-04:00,0.05873
2021-08-17 00:00:00-04:00,0.083333
2021-09-29 00:00:00-04:00,0.057143
2021-11-08 00:00:00-05:00,0.230952
2022-03-08 00:00:00-05:00,0.031746
2022-05-17 00:00:00-04:00,0.092063
2022-08-16 00:00:00-04:00,0.10873
2022-11-22 00:00:00-05:00,0.330159
2023-03-15 00:00:00-04:00,0.030159
2023-05-16 00:00:00-04:00,0.084167
2023-08-21 00:00:00-04:00,0.073333
2023-11-20 00:00:00-05:00,0.08
2024-03-04 00:00:00-05:00,0.016667
2024-05-17 00:00:00-04:00,0.054
2024-08-13 00:00:00-04:00,0.021
2024-11-21 00:00:00-05:00,0.049
2025-03-07 00:00:00-05:00,0.017
