quarter_end,zscore,valid,error,diagnostic,model,api_payload
2023-01-31,16.80682019962765062018017446,True,,Safe Zone,original,
2023-10-31,,False,No usable financial data for this quarter. All required fields are missing or zero.,[ERROR] All required fields missing or zero.,original,
2024-01-31,,False,No usable financial data for this quarter. All required fields are missing or zero.,[ERROR] All required fields missing or zero.,original,
2024-04-30,47.59292843767264590789824884,True,,Safe Zone,original,
2024-07-31,65.73136834646551296596214127,True,,Safe Zone,original,
2024-10-31,67.05455290156823254452075373,True,,Safe Zone,original,
2025-01-31,57.05011020678365287253296646,True,,Safe Zone,original,
2025-04-30,40.82872751003654376436948994,True,,Safe Zone,original,
