ticker,z_score,model_used,risk_category,calculation_date,data_quality_score,warnings_count,warnings,working_capital_ratio,retained_earnings_ratio,ebit_ratio,market_equity_ratio,book_equity_ratio,asset_turnover,_calculation_metadata,ai_llm_commentary_available,ai_llm_commentary_length,ai_overall_confidence,ai_recommendations_count,forecast_available,forecast_scenarios_count,forecast_base_z_score,forecast_base_risk_category,forecast_base_confidence,forecast_z_score_min,forecast_z_score_max,forecast_z_score_avg,forecast_avg_confidence,analyst_coverage_quality,forecast_timestamp
IR,2.7362867782229108,original,Gray Zone,2025-06-30,1.0,0,,0.13046054343793434,0.14167926419367521,0.004230554125067141,3.7714703904223144,1.276598706607439,0.10454009336013423,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 18059100000, 'total_liabilities': 7901700000}",True,21084,0.85,0,True,3,2.767,GRAY ZONE,0.949,2.766,2.768,2.767,0.8223333333333334,0.605,2025-08-02 20:55:28.672648
IR,2.8017191461687445,original,Gray Zone,2025-03-31,1.0,0,,0.13737662818155108,0.14591880039609562,0.016458643916558754,3.8080973694366,1.339790689650766,0.0934089252097457,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 18379400000, 'total_liabilities': 7825700000}",True,21084,0.85,0,True,3,2.767,GRAY ZONE,0.949,2.766,2.768,2.767,0.8223333333333334,0.605,2025-08-02 20:55:28.672648
IR,2.8285293220810184,original,Gray Zone,2024-12-31,1.0,0,,0.13018467723128518,0.1390076513897989,0.021032993148174882,3.838112896387404,1.3109665786592826,0.105420382236338,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 18009800000, 'total_liabilities': 7764500000}",True,21084,0.85,0,True,3,2.767,GRAY ZONE,0.949,2.766,2.768,2.767,0.8223333333333334,0.605,2025-08-02 20:55:28.672648
IR,2.7728989518036604,original,Gray Zone,2024-09-30,1.0,0,,0.13268007601805978,0.12533093122123232,0.019570256286320045,3.785699642276423,1.3043191056910568,0.10221792576155375,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 18206200000, 'total_liabilities': 7872000000}",True,21084,0.85,0,True,3,2.767,GRAY ZONE,0.949,2.766,2.768,2.767,0.8223333333333334,0.605,2025-08-02 20:55:28.672648
IR,2.7582177862932955,original,Gray Zone,2024-06-30,1.0,0,,0.1165232502732853,0.1159458474647532,0.020203492446113743,3.8136528651318735,1.274355988380277,0.10120245536339939,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 17838500000, 'total_liabilities': 7814300000}",True,21084,0.85,0,True,3,2.767,GRAY ZONE,0.949,2.766,2.768,2.767,0.8223333333333334,0.605,2025-08-02 20:55:28.672648
IR,3.7043918241818394,original,Safe,2024-03-31,1.0,0,,0.14696374525082104,0.12179148689548587,0.01888080365767274,5.3127890439092225,1.756957196085073,0.10754716981132076,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 15529000000, 'total_liabilities': 5609300000}",True,21084,0.85,0,True,3,2.767,GRAY ZONE,0.949,2.766,2.768,2.767,0.8223333333333334,0.605,2025-08-02 20:55:28.672648
IR,3.639490617495881,original,Safe,2023-12-31,1.0,0,,0.14284062068300832,0.1090500208821923,0.021409066084107045,5.212886157290792,1.7114119787293591,0.11703023098917338,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 15563500000, 'total_liabilities': 5716800000}",True,21084,0.85,0,True,3,2.767,GRAY ZONE,0.949,2.766,2.768,2.767,0.8223333333333334,0.605,2025-08-02 20:55:28.672648
IR,3.7159352958352674,original,Safe,2023-09-30,1.0,0,,0.13717170384057015,0.09736703180678369,0.021010954203510623,5.384884460988038,1.7263561128979799,0.11474858123267784,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 15154000000, 'total_liabilities': 5534200000}",True,21084,0.85,0,True,3,2.767,GRAY ZONE,0.949,2.766,2.768,2.767,0.8223333333333334,0.605,2025-08-02 20:55:28.672648
