ticker,z_score,model_used,risk_category,calculation_date,data_quality_score,warnings_count,warnings,working_capital_ratio,retained_earnings_ratio,ebit_ratio,market_equity_ratio,book_equity_ratio,asset_turnover,_calculation_metadata,ai_llm_commentary_available,ai_llm_commentary_length,ai_overall_confidence,ai_recommendations_count,forecast_available,forecast_scenarios_count,forecast_base_z_score,forecast_base_risk_category,forecast_base_confidence,forecast_z_score_min,forecast_z_score_max,forecast_z_score_avg,forecast_avg_confidence,analyst_coverage_quality,forecast_timestamp
ADSK,4.35793674225518,original,Safe,2025-04-30,1.0,0,,-0.16098252243741143,-0.13783656117146906,0.022012281530467644,7.528619180722892,0.3284387550200803,0.15427491733585263,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 10585000000, 'total_liabilities': 7968000000}",True,22190,0.85,0,True,3,4.582,SAFE,0.979,4.58,4.584,4.582,0.8483333333333333,0.642,2025-07-12 16:58:13.809512
ADSK,4.288594700967084,original,Safe,2025-01-31,1.0,0,,-0.1540662789624296,-0.12304993999815379,0.03378565494322902,7.304924212372138,0.319167072576717,0.15129696298347642,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 10833000000, 'total_liabilities': 8212000000}",True,22190,0.85,0,True,3,4.582,SAFE,0.979,4.58,4.584,4.582,0.8483333333333333,0.642,2025-07-12 16:58:13.809512
ADSK,4.700890856084393,original,Safe,2024-10-31,1.0,0,,-0.15484061975722885,-0.12079344715286687,0.03414586006118622,7.980316300651856,0.3480111746707463,0.1549393072140531,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 10133000000, 'total_liabilities': 7517000000}",True,22190,0.85,0,True,3,4.582,SAFE,0.979,4.58,4.584,4.582,0.8483333333333333,0.642,2025-07-12 16:58:13.809512
ADSK,4.701762957370921,original,Safe,2024-07-31,1.0,0,,-0.15853413654618473,-0.12911646586345382,0.03443775100401606,8.01336329575207,0.3304835693294149,0.15110441767068272,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 9960000000, 'total_liabilities': 7486000000}",True,22190,0.85,0,True,3,4.582,SAFE,0.979,4.58,4.584,4.582,0.8483333333333333,0.642,2025-07-12 16:58:13.809512
ADSK,4.571344565177929,original,Safe,2024-04-30,1.0,0,,-0.1309257375381485,-0.14954221770091555,0.03041709053916582,7.822145994523406,0.2817838049289347,0.1441505595116989,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 9830000000, 'total_liabilities': 7669000000}",True,22190,0.85,0,True,3,4.582,SAFE,0.979,4.58,4.584,4.582,0.8483333333333333,0.642,2025-07-12 16:58:13.809512
ADSK,4.384938954734522,original,Safe,2024-01-31,1.0,0,,-0.07788539144471347,-0.17282082324455206,0.03177966101694915,7.445455831202681,0.23023457862728064,0.14820419693301048,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 9912000000, 'total_liabilities': 8057000000}",True,22190,0.85,0,True,3,4.582,SAFE,0.979,4.58,4.584,4.582,0.8483333333333333,0.642,2025-07-12 16:58:13.809512
ADSK,4.499773663302238,original,Safe,2023-10-31,1.0,0,,-0.1054628224582701,-0.2101669195751138,0.036202037719488406,7.746389157024794,0.19137396694214875,0.15326251896813353,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 9226000000, 'total_liabilities': 7744000000}",True,22190,0.85,0,True,3,4.582,SAFE,0.979,4.58,4.584,4.582,0.8483333333333333,0.642,2025-07-12 16:58:13.809512
ADSK,4.332241974126399,original,Safe,2023-07-31,1.0,0,,-0.11573514878664763,-0.2335566048094872,0.028769078730646755,7.592461413998228,0.15263890646753575,0.14768859119358735,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 9107000000, 'total_liabilities': 7901000000}",True,22190,0.85,0,True,3,4.582,SAFE,0.979,4.58,4.584,4.582,0.8483333333333333,0.642,2025-07-12 16:58:13.809512
