Date,Stock Splits
1998-08-26 00:00:00-04:00,1.45
1999-08-16 00:00:00-04:00,1.23
2000-05-15 00:00:00-04:00,1.28
2001-06-26 00:00:00-04:00,1.4
2002-06-19 00:00:00-04:00,1.1
2003-07-07 00:00:00-04:00,1.08
2004-06-14 00:00:00-04:00,1.14
2005-06-13 00:00:00-04:00,1.05
2006-06-20 00:00:00-04:00,1.03
2009-07-15 00:00:00-04:00,1.005
