week,avg_price,min_price,max_price,days_with_data
2024-04-01,152.8691436767578,149.81375122070312,154.75015258789062,5
2024-04-08,156.1992218017578,154.1132049560547,158.6514892578125,5
2024-04-15,154.2286407470703,153.3568115234375,155.2676544189453,5
2024-04-22,159.56114501953124,155.25772094726562,171.1318359375,5
2024-04-29,164.5433319091797,162.00547790527344,166.4442596435547,5
2024-05-06,168.66163635253906,167.30015563964844,170.43515014648438,5
2024-05-13,171.62545776367188,168.33518981933594,175.22227478027344,5
2024-05-20,175.1008544921875,172.72421264648438,177.00375366210938,5
2024-05-27,173.39849090576172,171.29107666015625,175.56065368652344,4
2024-06-03,173.88068237304688,172.3460235595703,175.88906860351562,5
2024-06-10,175.6365997314453,174.37716674804688,177.14710998535156,5
2024-06-17,176.42474365234375,174.45687866210938,178.98046875,4
2024-06-24,182.27650451660156,178.5719451904297,184.7395782470703,5
2024-07-01,185.48934936523438,182.32830810546875,189.9108123779297,4
2024-07-08,187.28632507324218,184.40078735351562,190.48870849609375,5
2024-07-15,180.70819396972655,177.01759338378906,185.85549926757812,5
2024-07-22,173.4445556640625,166.39613342285156,181.1326446533203,5
2024-07-29,169.14216003417968,166.05735778808594,170.91969299316406,5
2024-08-05,159.8558563232422,157.7176055908203,163.0781707763672,5
2024-08-12,161.62943115234376,159.79010009765625,163.56640625,5
2024-08-19,165.22438049316406,163.20770263671875,166.57546997070312,5
2024-08-26,163.1778106689453,161.19500732421875,165.5591583251953,5
2024-09-02,154.93024444580078,150.374267578125,156.79100036621094,4
2024-09-09,151.7870330810547,148.31900024414062,157.09881591796875,5
2024-09-16,160.2156494140625,157.6974334716797,163.21475219726562,5
2024-09-23,162.08933715820314,161.11956787109375,163.5739288330078,5
2024-09-30,165.94248657226564,165.46957397460938,166.67678833007812,5
2024-10-07,162.53432006835936,161.4887237548828,164.00294494628906,5
2024-10-14,164.00892944335936,162.55625915527344,165.08047485351562,5
2024-10-21,163.61982421875,162.34674072265625,164.89089965820312,5
2024-10-28,170.26055297851562,166.3375701904297,174.059814453125,5
2024-11-04,174.5167724609375,168.851806640625,180.33538818359375,5
2024-11-11,177.3761993408203,172.09434509277344,181.20339965820312,5
2024-11-18,171.96264038085937,164.38206481933594,177.71141052246094,5
2024-11-25,168.35044479370117,167.26544189453125,168.84181213378906,4
2024-12-02,172.51337890625,170.9469757080078,174.30926513671875,5
2024-12-09,187.32825622558593,175.1682586669922,195.1752166748047,5
2024-12-16,191.859033203125,188.18325805664062,196.43377685546875,5
2024-12-23,194.55094146728516,192.5382537841797,195.8843994140625,4
2024-12-30,190.2209243774414,189.08224487304688,191.56936645507812,4
2025-01-06,194.36365127563477,191.81907653808594,196.64352416992188,4
2025-01-13,192.80394592285157,189.4418182373047,195.77452087402344,5
2025-01-20,198.42397689819336,197.7522430419922,199.9796905517578,4
2025-01-27,197.25482177734375,191.58934020996094,203.78530883789062,5
2025-02-03,194.95147705078125,185.1267852783203,206.14259338378906,5
2025-02-10,185.14077758789062,183.39878845214844,186.2554931640625,5
2025-02-17,183.10411834716797,179.4533233642578,185.05686950683594,4
2025-02-24,173.03671264648438,168.30616760253906,179.04379272460938,5
2025-03-03,171.2347900390625,166.81787109375,173.66000366210938,5
2025-03-10,165.0539978027344,162.75999450683594,167.11000061035156,5
2025-03-17,163.12799987792968,160.6699981689453,164.2899932861328,5
2025-03-24,163.9739990234375,154.3300018310547,170.55999755859375,5
2025-03-31,153.01400146484374,145.60000610351562,157.07000732421875,5
2025-04-07,152.0240020751953,144.6999969482422,158.7100067138672,5
2025-04-14,154.96750259399414,151.16000366210938,159.07000732421875,4
2025-04-21,155.14600219726563,147.6699981689453,161.9600067138672,5
2025-04-28,160.9800018310547,158.8000030517578,164.02999877929688,5
2025-05-05,157.1700012207031,151.3800048828125,164.2100067138672,5
2025-05-12,162.702001953125,158.4600067138672,166.19000244140625,5
2025-05-19,167.68399658203126,163.97999572753906,170.8699951171875,5
2025-05-26,172.37333170572916,171.86000061035156,172.89999389648438,3
