month,avg_price,min_price,max_price,days_with_data
2024-04-01,156.43889409845525,149.81375122070312,171.1318359375,22
2024-05-01,171.1766156283292,163.080322265625,177.00375366210938,22
2024-06-01,177.08778060109992,172.3460235595703,184.73956298828125,19
2024-07-01,179.93925614790484,166.39613342285156,190.48867797851562,22
2024-08-01,162.98351495916194,157.71762084960938,170.1425323486328,22
2024-09-01,157.78253250122071,148.31900024414062,165.46957397460938,20
2024-10-01,165.0201707922894,161.4887237548828,174.059814453125,23
2024-11-01,173.1788459777832,164.38206481933594,181.20338439941406,20
2024-12-01,186.51472981770834,170.94696044921875,196.43377685546875,21
2025-01-01,195.11128997802734,189.2120819091797,203.78530883789062,20
2025-02-01,184.10848999023438,168.30616760253906,206.14259338378906,19
2025-03-01,165.84769668579102,154.3300018310547,173.66000366210938,20
