month,avg_price,min_price,max_price,days_with_data
2024-02-01,66.77999877929688,66.77999877929688,66.77999877929688,1
2024-03-01,63.348499870300294,59.52000045776367,66.62000274658203,20
2024-04-01,63.31727253306996,58.38999938964844,69.20999908447266,22
2024-05-01,71.07772653753108,68.9800033569336,72.18000030517578,22
2024-06-01,69.23210505435341,65.30999755859375,72.69999694824219,19
2024-07-01,69.96545479514383,64.41999816894531,75.54000091552734,22
2024-08-01,62.32272737676447,57.06999969482422,65.77999877929688,22
2024-09-01,66.17099990844727,63.66999816894531,69.55000305175781,20
2024-10-01,62.199130680250086,58.70000076293945,65.5199966430664,23
2024-11-01,66.25450019836425,58.400001525878906,70.81999969482422,20
2024-12-01,64.02904728480748,59.86000061035156,70.27999877929688,21
2025-01-01,67.93999977111817,61.59000015258789,72.20999908447266,20
2025-02-01,65.75722206963434,61.869998931884766,69.05999755859375,18
