quarter_end,zscore,valid,error,diagnostic,model,api_payload
2022-06-30,5.095074704073532447497049580,True,,Safe Zone,original,
2023-06-30,5.193735869335062072421430928,True,,Safe Zone,original,
2023-12-31,,False,No usable financial data for this quarter. All required fields are missing or zero.,[ERROR] All required fields missing or zero.,original,
2024-03-31,4.840123977670733240998457467,True,,Safe Zone,original,
2024-06-30,4.760640557009326550060723736,True,,Safe Zone,original,
2024-09-30,4.833036345653010399928705418,True,,Safe Zone,original,
2024-12-31,4.990396315982671756167573871,True,,Safe Zone,original,
2025-03-31,5.045846355287511074479966315,True,,Safe Zone,original,
