ticker,z_score,model_used,risk_category,calculation_date,data_quality_score,warnings_count,warnings,working_capital_ratio,retained_earnings_ratio,ebit_ratio,market_equity_ratio,book_equity_ratio,asset_turnover,_calculation_metadata,ai_llm_commentary_available,ai_llm_commentary_length,ai_overall_confidence,ai_recommendations_count,forecast_available,forecast_scenarios_count,forecast_base_z_score,forecast_base_risk_category,forecast_base_confidence,forecast_z_score_min,forecast_z_score_max,forecast_z_score_avg,forecast_avg_confidence,analyst_coverage_quality,forecast_timestamp
NOC,2.164833525146826,original,Gray Zone,2025-06-30,1.0,0,,0.007906816849002043,0.31247093082040805,0.02414511334452286,2.3814814210712183,0.45529723366686287,0.20931831509979576,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 49451000000, 'total_liabilities': 33980000000}",True,23670,0.85,0,True,3,2.178,GRAY ZONE,0.991,2.176,2.179,2.1776666666666666,0.859,0.638,2025-07-28 11:21:09.308207
NOC,2.099788892580129,original,Gray Zone,2025-03-31,1.0,0,,-0.014483783114632335,0.30911116613023026,0.011822233226046051,2.41675841261498,0.4474973121490861,0.19534538252042585,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 48468000000, 'total_liabilities': 33484000000}",True,23670,0.85,0,True,3,2.178,GRAY ZONE,0.991,2.176,2.179,2.1776666666666666,0.859,0.638,2025-07-28 11:21:09.308207
NOC,2.151886788642487,original,Gray Zone,2024-12-31,1.0,0,,0.0029579205413399787,0.309913085759436,0.022062845681638608,2.3752601687164283,0.4487950923126596,0.2164954719504042,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 49359000000, 'total_liabilities': 34069000000}",True,23670,0.85,0,True,3,2.178,GRAY ZONE,0.991,2.176,2.179,2.1776666666666666,0.859,0.638,2025-07-28 11:21:09.308207
NOC,2.189010176535922,original,Gray Zone,2024-09-30,1.0,0,,0.02549234815382385,0.3052040837457806,0.023193688003479054,2.412651342774515,0.4397006648579351,0.20700366543105056,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 48289000000, 'total_liabilities': 33541000000}",True,23670,0.85,0,True,3,2.178,GRAY ZONE,0.991,2.176,2.179,2.1776666666666666,0.859,0.638,2025-07-28 11:21:09.308207
NOC,2.199067494165243,original,Gray Zone,2024-06-30,1.0,0,,0.028508495909376968,0.3,0.022865533878749737,2.4250873172105845,0.42857142857142855,0.2143486469477659,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 47670000000, 'total_liabilities': 33369000000}",True,23670,0.85,0,True,3,2.178,GRAY ZONE,0.991,2.176,2.179,2.1776666666666666,0.859,0.638,2025-07-28 11:21:09.308207
NOC,2.1891114793102284,original,Gray Zone,2024-03-31,1.0,0,,0.03479861140156426,0.29733573131456775,0.022397423564348155,2.4087732903110584,0.42336657240660813,0.21190764983897278,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 47818000000, 'total_liabilities': 33595000000}",True,23670,0.85,0,True,3,2.178,GRAY ZONE,0.991,2.176,2.179,2.1776666666666666,0.859,0.638,2025-07-28 11:21:09.308207
NOC,2.2198283120031483,original,Gray Zone,2023-12-31,1.0,0,,0.03789962186318323,0.31739859058095565,-0.008443623238226195,2.54882795325837,0.46599892910012913,0.22855792368511516,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 46544000000, 'total_liabilities': 31749000000}",True,23670,0.85,0,True,3,2.178,GRAY ZONE,0.991,2.176,2.179,2.1776666666666666,0.859,0.638,2025-07-28 11:21:09.308207
NOC,2.5411210816634493,original,Gray Zone,2023-09-30,1.0,0,,0.06336867426942266,0.3546863863150392,0.02263007840342124,2.793521771886219,0.5498481082573875,0.2177254098360656,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 44896000000, 'total_liabilities': 28968000000}",True,23670,0.85,0,True,3,2.178,GRAY ZONE,0.991,2.176,2.179,2.1776666666666666,0.859,0.638,2025-07-28 11:21:09.308207
