ticker,z_score,model_used,risk_category,calculation_date,data_quality_score,warnings_count,warnings,working_capital_ratio,retained_earnings_ratio,ebit_ratio,market_equity_ratio,book_equity_ratio,asset_turnover,_calculation_metadata
SSNC,1.055566226450807,original,Distress,2025-03-31,1.0,0,,0.029595832373596538,0.0,0.017539904630750457,1.4799609647769305,0.5064414437693335,0.07419296345485643,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 20404900000, 'total_liabilities': 13545100000}"
SSNC,1.1415539915544837,original,Distress,2024-12-31,1.0,0,,0.026679338608641773,0.0,0.018792629970542984,1.6120025784039371,0.5254993727685033,0.0803215592789595,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 19044700000, 'total_liabilities': 12435600000}"
SSNC,1.4850952966079236,original,Distress,2024-09-30,1.0,0,,0.03639144394307532,0.1874349184311003,0.01763168170774037,1.7355583200436353,0.5899500445875865,0.07949713641096841,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 18438400000, 'total_liabilities': 11550300000}"
SSNC,1.6148196040445124,original,Distress,2024-06-30,1.0,0,,0.02605115585736933,0.1984241535148948,0.019828218536308354,1.9241168762957843,0.6169757352376565,0.08586115514752857,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 16905200000, 'total_liabilities': 10418400000}"
SSNC,1.5418689386162745,original,Distress,2024-03-31,1.0,0,,0.025007476936526562,0.18543952883796905,0.019894402650286424,1.8400987014989765,0.5906132677320751,0.08253387627395495,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 17386800000, 'total_liabilities': 10894100000}"
SSNC,1.4268052470176928,original,Distress,2023-12-31,1.0,0,,0.015445380472310455,0.17269990332826957,0.018461538461538463,1.7126494484314128,0.5416239491490671,0.07797817980941858,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 18102500000, 'total_liabilities': 11704800000}"
SSNC,1.6322073404932202,original,Distress,2023-09-30,1.0,0,,0.01726205191594561,0.18491347342398023,0.018936959208899876,2.0095050236073657,0.6158866044488106,0.08441903584672435,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 16180000000, 'total_liabilities': 9975700000}"
SSNC,1.6726033254417538,original,Distress,2023-06-30,1.0,0,,0.017644277744507834,0.18253222807072841,0.018167491411100956,2.083395094939669,0.6423159667009635,0.08589529422889022,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 15863500000, 'total_liabilities': 9621900000}"
SSNC,1.6252828532219206,original,Distress,2023-03-31,1.0,0,,0.014242522675595313,0.1758701681617151,0.017497064041378275,2.0318486989661464,0.616663288060004,0.085124059868569,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 16008400000, 'total_liabilities': 9866000000}"
SSNC,1.5272796956584038,original,Distress,2022-12-31,1.0,0,,0.014027249854383216,0.16453795944347366,0.018092510193174927,1.9000435304822565,0.5728882317258114,0.08036245068544973,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 16653300000, 'total_liabilities': 10550400000}"
SSNC,1.5025559952423546,original,Distress,2022-09-30,1.0,0,,0.016647879471049537,0.1564973394906852,0.018435693247518273,1.8709779700027067,0.5345192873076169,0.08005769487170164,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 16500600000, 'total_liabilities': 10714300000}"
SSNC,1.3977131853893905,original,Distress,2022-06-30,1.0,0,,0.01771969623377885,0.14132900578847218,0.014034045130654904,1.7605869669158007,0.531823890533194,0.0759244127243533,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 17500300000, 'total_liabilities': 11386100000}"
