Date,Dividends
1992-06-23 00:00:00-04:00,0.131
1992-12-23 00:00:00-05:00,0.119
1993-06-23 00:00:00-04:00,0.149
1993-12-23 00:00:00-05:00,0.136
1994-06-22 00:00:00-04:00,0.137
1994-12-22 00:00:00-05:00,0.18
1995-03-24 00:00:00-05:00,0.18
1995-09-26 00:00:00-04:00,0.125
1996-03-26 00:00:00-05:00,0.19
1996-09-25 00:00:00-04:00,0.18
1997-03-25 00:00:00-05:00,0.062
1997-09-25 00:00:00-04:00,0.147
1998-03-26 00:00:00-05:00,0.205
1998-09-25 00:00:00-04:00,0.128
1999-03-26 00:00:00-05:00,0.171
1999-09-27 00:00:00-04:00,0.18
2000-03-28 00:00:00-05:00,0.208
2000-09-26 00:00:00-04:00,0.168
2001-03-27 00:00:00-05:00,0.191
2001-09-25 00:00:00-04:00,0.178
2002-03-26 00:00:00-05:00,0.212
2002-09-25 00:00:00-04:00,0.218
2003-03-26 00:00:00-05:00,0.25
2003-09-25 00:00:00-04:00,0.328
2004-03-26 00:00:00-05:00,0.375
2004-09-27 00:00:00-04:00,0.45
2005-03-28 00:00:00-05:00,0.48
2005-09-27 00:00:00-04:00,0.725
2006-03-28 00:00:00-05:00,0.943
2006-09-27 00:00:00-04:00,0.86
2007-03-28 00:00:00-04:00,1.052
2007-09-26 00:00:00-04:00,1.197
2008-03-26 00:00:00-04:00,1.449
2008-09-25 00:00:00-04:00,1.257
2009-03-26 00:00:00-04:00,0.726
2009-09-25 00:00:00-04:00,0.576
2010-03-26 00:00:00-04:00,0.701
2010-09-27 00:00:00-04:00,0.596
2011-03-28 00:00:00-04:00,0.747
2011-09-27 00:00:00-04:00,0.512
2012-03-27 00:00:00-04:00,0.7
2012-09-25 00:00:00-04:00,0.679
2013-03-26 00:00:00-04:00,1.263
2013-09-25 00:00:00-04:00,1.178
2014-03-26 00:00:00-04:00,1.956
2014-09-25 00:00:00-04:00,1.263
2015-03-27 00:00:00-04:00,2.012
2015-09-28 00:00:00-04:00,1.628
2016-03-29 00:00:00-04:00,2.015
2016-09-28 00:00:00-04:00,1.772
2017-03-29 00:00:00-04:00,1.967
2017-09-28 00:00:00-04:00,1.797
2018-03-28 00:00:00-04:00,2.189
2018-09-27 00:00:00-04:00,1.758
2019-09-27 00:00:00-04:00,1.83
2020-03-30 00:00:00-04:00,2.225
2020-09-29 00:00:00-04:00,2.015
2021-03-30 00:00:00-04:00,2.45
2021-09-29 00:00:00-04:00,2.098
2022-03-30 00:00:00-04:00,2.203
2022-09-29 00:00:00-04:00,1.762
2023-03-30 00:00:00-04:00,2.496
2023-09-28 00:00:00-04:00,2.003
2024-03-27 00:00:00-04:00,2.861
2024-09-30 00:00:00-04:00,2.601
