ticker,z_score,model_used,risk_category,calculation_date,data_quality_score,warnings_count,warnings,working_capital_ratio,retained_earnings_ratio,ebit_ratio,market_equity_ratio,asset_turnover,inventory_adjustment,ai_llm_commentary_available,ai_llm_commentary_length,ai_overall_confidence,ai_recommendations_count
LOW,1.6349184713550358,retail,Distress,2025-05-02,1.0,0,,0.09565370713215199,-0.30487966146522083,0.05496782156396015,2.1209766544536555,0.46129771665344266,0.06337605672211617,True,14109,0.85,0
LOW,1.5030693108406914,retail,Distress,2025-01-31,1.0,0,,0.06841909888172243,-0.3433483365041065,0.04245742656953273,2.1688098886156313,0.4304440629205141,0.05962911903804546,True,14109,0.85,0
LOW,1.632763843674995,retail,Distress,2024-11-01,1.0,0,,0.09858525355921596,-0.31274165791296965,0.0566792570904946,2.1378972068360786,0.4507967726795253,0.06344643060457703,True,14109,0.85,0
LOW,1.7878469115318663,retail,Distress,2024-08-02,1.0,0,,0.1223127253304847,-0.3191792406640851,0.07671251168380291,2.1184111171610134,0.5249031913473093,0.07764285572907388,True,14109,0.85,0
LOW,1.592591376977542,retail,Distress,2024-05-03,1.0,0,,0.09976854403174253,-0.3347955472280392,0.05848120797972005,2.073408436477631,0.4709357434145266,0.06722819724904887,True,14109,0.85,0
LOW,1.421252769667551,retail,Distress,2024-02-02,1.0,0,,0.05021219669711228,-0.36066519051573026,0.038933480948426975,2.1289658141971715,0.4290524956176769,0.06203385817449982,True,14109,0.85,0
LOW,1.5671605165088693,retail,Distress,2023-11-03,1.0,0,,0.05733907194430725,-0.370281521202286,0.06340694748230202,2.156285806957306,0.4814553493732214,0.06455599923939913,True,14109,0.85,0
LOW,1.794645501731625,retail,Distress,2023-08-04,1.0,0,,0.1081287482311718,-0.34457896273668603,0.08728465218660857,2.09853302523079,0.5605444621639226,0.07919584433474917,True,14109,0.85,0
