week,avg_price,min_price,max_price,days_with_data
2024-04-01,83.66800079345703,82.4000015258789,86.79000091552734,5
2024-04-08,80.45999908447266,74.98999786376953,83.68000030517578,5
2024-04-15,70.4280014038086,69.16000366210938,71.36000061035156,5
2024-04-22,76.84400024414063,71.44000244140625,84.30999755859375,5
2024-04-29,98.38799896240235,82.91999816894531,121.66999816894531,5
2024-05-06,118.29200134277343,114.41999816894531,122.97000122070312,5
2024-05-13,118.86999969482422,116.9000015258789,121.06999969482422,5
2024-05-20,113.46200103759766,109.1500015258789,117.5,5
2024-05-27,103.00250053405762,99.9800033569336,105.05000305175781,4
2024-06-03,102.86599884033203,98.95999908447266,106.55999755859375,5
2024-06-10,106.60800018310547,103.05999755859375,111.06999969482422,5
2024-06-17,110.63999938964844,108.94000244140625,112.98999786376953,4
2024-06-24,127.25600128173828,119.5,132.8800048828125,5
2024-07-01,126.9424991607666,124.3499984741211,128.0500030517578,4
2024-07-08,129.03199920654296,122.31999969482422,136.24000549316406,5
2024-07-15,136.0219970703125,129.17999267578125,145.02999877929688,5
2024-07-22,127.6740005493164,123.41999816894531,132.85000610351562,5
2024-07-29,134.26799926757812,126.77999877929688,146.52000427246094,5
2024-08-05,134.45199890136718,128.63999938964844,138.9499969482422,5
2024-08-12,145.89199829101562,133.47999572753906,155.92999267578125,5
2024-08-19,155.9,153.02000427246094,159.77999877929688,5
2024-08-26,154.3480010986328,150.0800018310547,158.74000549316406,5
2024-09-02,140.9525032043457,133.41000366210938,144.74000549316406,4
2024-09-09,136.43199768066407,130.72000122070312,141.89999389648438,5
2024-09-16,163.14000244140624,152.89999389648438,173.85000610351562,5
2024-09-23,171.697998046875,169.64999389648438,175.14999389648438,5
2024-09-30,176.73399963378907,174.11000061035156,180.1699981689453,5
2024-10-07,188.92200317382813,179.72999572753906,192.25,5
2024-10-14,191.547998046875,189.08999633789062,193.39999389648438,5
2024-10-21,197.78600158691407,191.49000549316406,202.52999877929688,5
2024-10-28,219.49200134277345,205.02000427246094,247.30999755859375,5
2024-11-04,237.29399719238282,226.0800018310547,244.35000610351562,5
2024-11-11,243.6459991455078,239.97999572753906,250.05999755859375,5
2024-11-18,249.2719970703125,244.5,259.3599853515625,5
2024-11-25,258.04750061035156,254.97000122070312,260.79998779296875,4
2024-12-02,255.5540008544922,251.2100067138672,260.1300048828125,5
2024-12-09,245.50400085449218,236.52000427246094,250.9499969482422,5
2024-12-16,237.98399963378907,222.97999572753906,255.75999450683594,5
2024-12-23,221.4099998474121,215.08999633789062,224.05999755859375,4
2024-12-30,197.65750122070312,177.16000366210938,210.5500030517578,4
2025-01-06,194.31500244140625,188.85000610351562,198.35000610351562,4
2025-01-13,213.22999877929686,194.50999450683594,231.9199981689453,5
2025-01-20,237.4900016784668,232.32000732421875,243.1199951171875,4
2025-01-27,244.7760009765625,242.14999389648438,247.47999572753906,5
2025-02-03,258.5000030517578,251.6300048828125,264.07000732421875,5
2025-02-10,272.9239929199219,267.80999755859375,285.3299865722656,5
2025-02-17,259.34250259399414,223.3000030517578,284.5299987792969,4
2025-02-24,225.25400085449218,215.64999389648438,233.10000610351562,5
2025-03-03,205.15,186.85000610351562,219.4499969482422,5
2025-03-10,174.19399719238282,166.6699981689453,181.17999267578125,5
2025-03-17,181.09599914550782,166.52000427246094,190.9499969482422,5
2025-03-24,209.7040008544922,203.9499969482422,221.66000366210938,5
2025-03-31,198.47000122070312,162.57000732421875,226.32000732421875,5
2025-04-07,194.89800109863282,167.8699951171875,220.44000244140625,5
2025-04-14,209.8125,204.72999572753906,213.80999755859375,4
2025-04-21,220.1779998779297,195.8300018310547,237.14999389648438,5
2025-04-28,247.68800048828126,241.52999877929688,257.1000061035156,5
2025-05-05,266.24000244140626,258.80999755859375,285.5299987792969,5
2025-05-12,295.097998046875,279.6199951171875,305.5199890136719,5
2025-05-19,301.18999633789065,292.0899963378906,305.2099914550781,5
2025-05-26,317.6233317057292,312.9100036621094,320.30999755859375,3
