ticker,z_score,model_used,risk_category,calculation_date,data_quality_score,warnings_count,warnings,working_capital_ratio,retained_earnings_ratio,ebit_ratio,market_equity_ratio,book_equity_ratio,asset_turnover,_calculation_metadata,ai_llm_commentary_available,ai_llm_commentary_length,ai_overall_confidence,ai_recommendations_count
MSTR,6.271611887658888,original,Safe,2025-03-31,1.0,0,,-0.0023924766437703666,0.14462390049490254,-0.13482341433559747,10.857329712151026,0.1255044844505407,0.002528838955404128,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 43919760000, 'total_liabilities': 10394027000}",True,14348,0.85,0
MSTR,8.646000611092061,original,Safe,2024-12-31,1.0,0,,-0.003987821396213427,-0.08384547327519276,-0.03932953059906124,14.822144733027997,2.394365631116851,0.004670270512893189,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 25843685000, 'total_liabilities': 7613701000}",True,14348,0.85,0
MSTR,14.393867635076473,original,Safe,2024-09-30,1.0,0,,-0.012233236544356674,-0.1791898466617631,-0.051846083833787915,24.694323280083818,0.8257560506370774,0.013911412857381022,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 8343581000, 'total_liabilities': 4569932000}",True,14348,0.85,0
MSTR,15.704178915195982,original,Safe,2024-06-30,1.0,0,,-0.03371494949789971,-0.16374578853784727,-0.02839528245347808,26.752974836627494,0.6720281802462335,0.015800488666429514,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 7053073000, 'total_liabilities': 4218274000}",True,14348,0.85,0
MSTR,16.80322342542947,original,Safe,2024-03-31,1.0,0,,-0.010740074177297818,-0.1656845687320821,-0.03207128225143544,28.55960093879842,0.6074010093550848,0.018144578817826672,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 6351539000, 'total_liabilities': 3951434000}",True,14348,0.85,0
MSTR,25.75593114658039,original,Safe,2023-12-31,1.0,0,,-0.011627858145925861,-0.2098116798473416,-0.008983674216718515,43.445214723378434,0.8334649955573624,0.026138219029893366,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 4762528000, 'total_liabilities': 2597556000}",True,14348,0.85,0
MSTR,26.2635414753114,original,Safe,2023-09-30,1.0,0,,-0.020200708903919777,-0.32257825492502684,-0.00748294057305685,44.54285739276098,0.33170702248942785,0.03837115112564209,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 3373941000, 'total_liabilities': 2533546000}",True,14348,0.85,0
MSTR,26.209693233519666,original,Safe,2023-06-30,1.0,0,,-0.01882070848834886,-0.28096633348240196,-0.007941473115312521,44.36006258525008,0.32198211782612013,0.03580026071153315,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 3363104000, 'total_liabilities': 2543986000}",True,14348,0.85,0
