ticker,z_score,model_used,risk_category,calculation_date,data_quality_score,warnings_count,warnings,working_capital_ratio,retained_earnings_ratio,ebit_ratio,book_equity_ratio,ai_llm_commentary_available,ai_llm_commentary_length,ai_overall_confidence,ai_recommendations_count,forecast_available
SENS,-31.25500419046989,service,Distress,2025-03-31,1.0,0,,0.7681255804886998,-11.032243638990494,-0.15465938929722167,0.6766832006767409,True,21118,0.85,0,False
SENS,-28.43455204202397,service,Distress,2024-12-31,1.0,0,,0.5235966466875087,-9.437404169736554,-0.14208765606642904,-0.14150419255852914,True,21118,0.85,0,False
SENS,-29.75261355175278,service,Distress,2024-09-30,1.0,0,,0.5417674476544414,-9.679106414342217,-0.23717183461191102,-0.15135844668405102,True,21118,0.85,0,False
SENS,-23.062117219102408,service,Distress,2024-06-30,1.0,0,,0.626554082519877,-8.142827690680434,-0.17472952017282026,0.5214177588064424,True,21118,0.85,0,False
SENS,-18.421445696071842,service,Distress,2024-03-31,1.0,0,,0.6983938790350628,-7.019942141705397,-0.14410825508236114,0.8100088700678131,True,21118,0.85,0,False
SENS,-14.785610800887826,service,Distress,2023-12-31,1.0,0,,0.8158949500795832,-6.28894515989003,-0.12302127043843149,1.134078557312253,True,21118,0.85,0,False
SENS,-12.837583644269701,service,Distress,2023-09-30,1.0,0,,0.8362574238146236,-5.530581248174472,-0.12346736766949015,0.5104411764705883,True,21118,0.85,0,False
SENS,-12.68917097149311,service,Distress,2023-06-30,1.0,0,,0.7979030007433393,-5.398762405289446,-0.12954969288350437,0.5210711629060253,True,21118,0.85,0,False
