month,avg_price,min_price,max_price,days_with_data
2024-02-01,242.63623046875,242.63623046875,242.63623046875,1
2024-03-01,255.7092628479004,240.3265380859375,283.7980041503906,20
2024-04-01,264.3399658203125,256.41143798828125,274.3851013183594,22
2024-05-01,251.23659723455256,240.0832977294922,261.4166259765625,22
2024-06-01,252.95651325426604,240.9060821533203,295.2973937988281,19
2024-07-01,296.09066633744675,288.2951354980469,308.7701416015625,22
2024-08-01,284.3261885209517,273.2072448730469,294.24365234375,22
2024-09-01,277.7944480895996,252.0109100341797,297.28857421875,20
2024-10-01,265.8556213378906,257.8104248046875,272.6060791015625,23
2024-11-01,287.59073638916016,268.380126953125,301.9993896484375,20
2024-12-01,278.0322774251302,267.5480041503906,293.62677001953125,21
2025-01-01,272.671484375,263.43048095703125,279.99993896484375,20
2025-02-01,257.4945839775933,245.99574279785156,267.0009765625,18
