month,avg_price,min_price,max_price,days_with_data
2024-04-01,181.17318240079013,173.6699981689453,189.0500030517578,22
2024-05-01,184.17636455189097,176.44000244140625,189.5,22
2024-06-01,186.08421084755346,178.33999633789062,197.85000610351562,19
2024-07-01,190.33318190141156,179.85000610351562,200.0,22
2024-08-01,172.39227294921875,161.02000427246094,184.07000732421875,22
2024-09-01,184.8660011291504,171.38999938964844,193.9600067138672,20
2024-10-01,186.83478313943615,180.8000030517578,192.72999572753906,23
2024-11-01,204.50499954223633,195.77999877929688,214.10000610351562,20
2024-12-01,224.1009521484375,210.7100067138672,232.92999267578125,21
2025-01-01,228.0160011291504,217.75999450683594,238.14999389648438,20
2025-02-01,225.84894682231703,208.74000549316406,242.05999755859375,19
2025-03-01,198.9215003967285,192.72000122070312,208.36000061035156,20
