week,open_price,high_price,low_price,close_price,days_with_data
2022-05-30,241.80999755859375,290.8900146484375,236.24000549316406,273.1300048828125,3
2022-06-06,278.6099853515625,308.25,265.6199951171875,268.7099914550781,5
2022-06-13,254.0800018310547,260.9200134277344,231.33999633789062,249.75,5
2022-06-20,255.1699981689453,313.66900634765625,255.14999389648438,303.0899963378906,4
2022-06-27,304.04998779296875,308.1499938964844,251.93499755859375,269.010009765625,5
2022-07-04,263.0299987792969,323.8900146484375,261.2879943847656,314.1600036621094,4
2022-07-11,309.6199951171875,323.0199890136719,265.760009765625,277.4700012207031,5
2022-07-18,285.5,323.0,272.5950012207031,301.6099853515625,5
2022-07-25,298.2099914550781,313.5400085449219,263.3999938964844,312.4700012207031,5
2022-08-01,308.0299987792969,358.989990234375,302.04998779296875,356.8399963378906,5
2022-08-08,360.0,390.8399963378906,354.4620056152344,379.1000061035156,5
2022-08-15,375.1600036621094,383.9200134277344,333.8599853515625,337.07000732421875,5
2022-08-22,328.3999938964844,367.2900085449219,323.9700012207031,353.57000732421875,5
2022-08-29,345.29998779296875,354.0199890136719,235.1999969482422,244.8699951171875,5
2022-09-05,241.07000732421875,273.91400146484375,233.39999389648438,268.6400146484375,4
2022-09-12,269.07000732421875,278.6700134277344,217.5500030517578,220.5800018310547,5
2022-09-19,218.17999267578125,222.35000610351562,189.23500061035156,194.72999572753906,5
2022-09-26,194.1999969482422,210.5,188.1699981689453,198.55999755859375,5
2022-10-03,199.00999450683594,208.99000549316406,185.50999450683594,189.7899932861328,5
2022-10-10,191.1300048828125,191.88999938964844,166.61000061035156,172.0800018310547,5
2022-10-17,178.97999572753906,197.97000122070312,177.0800018310547,188.89999389648438,5
2022-10-24,188.92999267578125,202.16000366210938,176.68499755859375,186.58999633789062,5
2022-10-31,186.50999450683594,194.5,140.5,145.3800048828125,5
2022-11-07,147.7899932861328,180.75999450683594,135.14999389648438,175.94000244140625,5
2022-11-14,174.0800018310547,186.75,157.72999572753906,159.8800048828125,5
2022-11-21,152.8300018310547,153.08999633789062,142.44000244140625,147.75,4
2022-11-28,145.1300048828125,162.52999877929688,137.6999969482422,160.1699981689453,5
2022-12-05,159.0,198.41000366210938,142.02000427246094,191.75,5
2022-12-12,193.0,221.1999969482422,192.63999938964844,203.10000610351562,5
2022-12-19,201.52000427246094,203.44000244140625,189.8800048828125,197.47000122070312,5
2022-12-26,194.16000366210938,203.6300048828125,186.36000061035156,196.83999633789062,4
