month,avg_price,min_price,max_price,days_with_data
2024-02-01,53.015907287597656,53.015907287597656,53.015907287597656,1
2024-03-01,52.7287712097168,52.062103271484375,53.56236267089844,20
2024-04-01,50.63409354469993,49.49873352050781,52.43964385986328,22
2024-05-01,50.497707020152696,49.1807975769043,51.366615295410156,22
2024-06-01,50.252282995926706,48.05521774291992,54.77497100830078,19
2024-07-01,55.71577470952814,53.209686279296875,58.822776794433594,22
2024-08-01,56.611946452747695,55.183738708496094,58.150001525878906,22
2024-09-01,59.22650032043457,56.220001220703125,67.37000274658203,20
2024-10-01,65.57130432128906,64.08999633789062,67.25,23
2024-11-01,67.3515001296997,63.939998626708984,69.88999938964844,20
2024-12-01,67.5971429007394,65.05000305175781,69.7699966430664,21
2025-01-01,60.41150035858154,53.0,65.26000213623047,20
2025-02-01,56.79277780320909,54.310001373291016,58.0,18
