ticker,z_score,model_used,risk_category,calculation_date,data_quality_score,warnings_count,warnings,working_capital_ratio,retained_earnings_ratio,ebit_ratio,book_equity_ratio,ai_llm_commentary_available,ai_llm_commentary_length,ai_overall_confidence,ai_recommendations_count,forecast_available,forecast_scenarios_count,forecast_base_z_score,forecast_base_risk_category,forecast_base_confidence,forecast_z_score_min,forecast_z_score_max,forecast_z_score_avg,forecast_avg_confidence,analyst_coverage_quality,forecast_timestamp
VTR,3.9559618601106665,financial,Safe,2025-03-31,1.0,1,Financial institutions may not be suitable for Z-Score analysis,-0.026718082289709764,0.0,0.007594067292184573,0.7906669978358877,True,18771,0.85,0,True,3,4.038,SAFE,0.835,4.035,4.042,4.038333333333333,0.7236666666666668,0.562,2025-07-12 17:37:42.503637
VTR,3.1910864380438135,financial,Safe,2024-12-31,1.0,1,Financial institutions may not be suitable for Z-Score analysis,0.0017856252281197328,-0.2629807813110873,0.007476790117931458,0.701377194313327,True,18771,0.85,0,True,3,4.038,SAFE,0.835,4.035,4.042,4.038333333333333,0.7236666666666668,0.562,2025-07-12 17:37:42.503637
VTR,3.1893989714813302,financial,Safe,2024-09-30,1.0,1,Financial institutions may not be suitable for Z-Score analysis,0.012326534512367426,-0.26623165195951315,0.00770953339244048,0.6425181200676313,True,18771,0.85,0,True,3,4.038,SAFE,0.835,4.035,4.042,4.038333333333333,0.7236666666666668,0.562,2025-07-12 17:37:42.503637
VTR,3.062568726725847,financial,Safe,2024-06-30,1.0,1,Financial institutions may not be suitable for Z-Score analysis,-0.00858548854150526,-0.2681342681309661,0.007273393167263135,0.6610762319819642,True,18771,0.85,0,True,3,4.038,SAFE,0.835,4.035,4.042,4.038333333333333,0.7236666666666668,0.562,2025-07-12 17:37:42.503637
VTR,3.0582094827170834,financial,Safe,2024-03-31,1.0,1,Financial institutions may not be suitable for Z-Score analysis,-0.00705690112905068,-0.25980835571917754,0.005972620786487481,0.6298495067456938,True,18771,0.85,0,True,3,4.038,SAFE,0.835,4.035,4.042,4.038333333333333,0.7236666666666668,0.562,2025-07-12 17:37:42.503637
VTR,2.8308294171483928,financial,Safe,2023-12-31,1.0,1,Financial institutions may not be suitable for Z-Score analysis,-0.012702345799161536,-0.25131220148904976,-0.027702083114176403,0.6377072199737713,True,18771,0.85,0,True,3,4.038,SAFE,0.835,4.035,4.042,4.038333333333333,0.7236666666666668,0.562,2025-07-12 17:37:42.503637
VTR,2.9947269097972855,financial,Safe,2023-09-30,1.0,1,Financial institutions may not be suitable for Z-Score analysis,-0.026116922806777645,-0.23796996220031322,-0.0005068770052032296,0.6621354415787939,True,18771,0.85,0,True,3,4.038,SAFE,0.835,4.035,4.042,4.038333333333333,0.7236666666666668,0.562,2025-07-12 17:37:42.503637
VTR,3.0047435626930508,financial,Safe,2023-06-30,1.0,1,Financial institutions may not be suitable for Z-Score analysis,-0.03694384341471785,-0.22689682548609616,0.00419076137070995,0.6748732477781929,True,18771,0.85,0,True,3,4.038,SAFE,0.835,4.035,4.042,4.038333333333333,0.7236666666666668,0.562,2025-07-12 17:37:42.503637
