month,avg_price,min_price,max_price,days_with_data
2024-04-01,47.154042504050516,45.25568389892578,49.76349639892578,22
2024-05-01,51.22121672196822,49.314735412597656,52.63532638549805,22
2024-06-01,49.01565451371042,46.88358688354492,50.22394561767578,19
2024-07-01,44.409347707575016,42.436370849609375,46.83417510986328,22
2024-08-01,39.66189211065119,37.01085662841797,42.13802719116211,22
2024-09-01,45.648206329345705,41.68183898925781,51.380821228027344,20
2024-10-01,52.84111503932787,47.066856384277344,58.14682388305664,23
2024-11-01,62.30144634246826,56.585235595703125,64.5025863647461,20
2024-12-01,61.72516995384579,58.5645751953125,65.41766357421875,21
2025-01-01,64.99941520690918,58.68393325805664,68.2026596069336,20
2025-02-01,64.16243081343801,59.574745178222656,68.6900405883789,19
2025-03-01,48.90712642669678,43.71141052246094,58.27855682373047,20
