month,avg_price,min_price,max_price,days_with_data
2024-04-01,490.0567654696378,428.6064147949219,525.4231567382812,22
2024-05-01,466.0688185258345,437.5936279296875,479.7897033691406,22
2024-06-01,499.0980337042558,475.2561950683594,518.1854858398438,19
2024-07-01,490.9889581853693,452.2104797363281,538.4815673828125,22
2024-08-01,514.8003234863281,474.471435546875,535.9083862304688,22
2024-09-01,536.1178512573242,498.9464416503906,571.47021484375,20
2024-10-01,580.2995658542799,562.7349853515625,594.930419921875,23
2024-11-01,569.9328247070313,553.1412963867188,590.6976318359375,20
2024-12-01,607.7401326497396,584.7297973632812,631.6080932617188,21
2025-01-01,631.0930328369141,593.7218017578125,688.5673828125,20
2025-02-01,698.5963873612253,656.9155883789062,736.0151977539062,19
2025-03-01,610.532260131836,576.739990234375,655.886474609375,20
