month,avg_price,min_price,max_price,days_with_data
2024-01-01,23.91487693786621,23.91487693786621,23.91487693786621,1
2024-02-01,24.971257305145265,24.004148483276367,26.285533905029297,20
2024-03-01,21.82576427459717,19.610000610351562,27.664283752441406,20
2024-04-01,19.173181880604137,18.100000381469727,20.350000381469727,22
2024-05-01,17.914999875155363,17.3799991607666,18.469999313354492,22
2024-06-01,16.78526316191021,15.260000228881836,18.3700008392334,19
2024-07-01,16.517272775823418,15.020000457763672,18.139999389648438,22
2024-08-01,16.745454528115012,15.369999885559082,17.200000762939453,22
2024-09-01,18.339999866485595,17.059999465942383,21.06999969482422,20
2024-10-01,20.995217530623727,19.989999771118164,22.020000457763672,23
2024-11-01,21.97200002670288,20.81999969482422,23.399999618530273,20
2024-12-01,20.206666764758882,18.75,23.350000381469727,21
2025-01-01,19.98684190448962,17.709999084472656,21.90999984741211,19
