quarter_end,zscore,zscore_str,components,valid,error,diagnostic,validation_summary,model,api_payload,field_mapping
2024-09-30 00:00:00,-0.04126179024523903,-0.04,"{'X1': Decimal('-0.1024431427757386830241171837'), 'X2': Decimal('0.05722410695147542545337147484'), 'X3': Decimal('0E+1'), 'X4': Decimal('0.002593718922636321765861375034'), 'X5': Decimal('0E+1')}",True,,Distress Zone,No validation issues.,original,,"{""total_assets"": {""canonical_field"": ""total_assets"", ""mapped_raw_field"": ""Total Assets"", ""value"": ""45346920000000.0"", ""missing"": false}, ""current_assets"": {""canonical_field"": ""current_assets"", ""mapped_raw_field"": ""Current Assets"", ""value"": ""10358263000000.0"", ""missing"": false}, ""current_liabilities"": {""canonical_field"": ""current_liabilities"", ""mapped_raw_field"": ""Current Liabilities"", ""value"": ""15003744000000.0"", ""missing"": false}, ""retained_earnings"": {""canonical_field"": ""retained_earnings"", ""mapped_raw_field"": ""Retained Earnings"", ""value"": ""2594937000000.0"", ""missing"": false}, ""total_liabilities"": {""canonical_field"": ""total_liabilities"", ""mapped_raw_field"": ""Total Liabilities Net Minority Interest"", ""value"": ""32539723000000.0"", ""missing"": false}, ""book_value_equity"": {""canonical_field"": ""book_value_equity"", ""mapped_raw_field"": ""Common Stock Equity"", ""value"": ""10746634000000.0"", ""missing"": false}, ""ebit"": {""canonical_field"": ""ebit"", ""mapped_raw_field"": null, ""value"": ""0"", ""missing"": true}, ""sales"": {""canonical_field"": ""sales"", ""mapped_raw_field"": null, ""value"": ""0"", ""missing"": true}}"
2024-03-31 00:00:00,0.020174707162678555,0.02,"{'X1': Decimal('-0.05198802257748723719290647470'), 'X2': Decimal('0.03494900923274455190210358250'), 'X3': Decimal('-0.001649379316856990064023081123'), 'X4': Decimal('0.002537423664015036368958362860'), 'X5': Decimal('0.03755221887703991266375358933')}",True,,Distress Zone,No validation issues.,original,,"{""total_assets"": {""canonical_field"": ""total_assets"", ""mapped_raw_field"": ""Total Assets"", ""value"": ""46724243000000.0"", ""missing"": false}, ""current_assets"": {""canonical_field"": ""current_assets"", ""mapped_raw_field"": ""Current Assets"", ""value"": ""11441393000000.0"", ""missing"": false}, ""current_liabilities"": {""canonical_field"": ""current_liabilities"", ""mapped_raw_field"": ""Current Liabilities"", ""value"": ""13870494000000.0"", ""missing"": false}, ""retained_earnings"": {""canonical_field"": ""retained_earnings"", ""mapped_raw_field"": ""Retained Earnings"", ""value"": ""1632966000000.0"", ""missing"": false}, ""total_liabilities"": {""canonical_field"": ""total_liabilities"", ""mapped_raw_field"": ""Total Liabilities Net Minority Interest"", ""value"": ""33487074000000.0"", ""missing"": false}, ""book_value_equity"": {""canonical_field"": ""book_value_equity"", ""mapped_raw_field"": ""Common Stock Equity"", ""value"": ""11162125000000.0"", ""missing"": false}, ""ebit"": {""canonical_field"": ""ebit"", ""mapped_raw_field"": ""EBIT"", ""value"": ""-77066000000.0"", ""missing"": false}, ""sales"": {""canonical_field"": ""sales"", ""mapped_raw_field"": ""Total Revenue"", ""value"": ""1754599000000.0"", ""missing"": false}}"
