month,avg_price,min_price,max_price,days_with_data
2024-04-01,9.20500001040372,8.640000343322754,10.539999961853027,22
2024-05-01,9.450909094376998,8.779999732971191,10.180000305175781,22
2024-06-01,9.51473677785773,9.210000038146973,9.779999732971191,19
2024-07-01,9.787727225910533,9.130000114440918,11.0,22
2024-08-01,9.075454581867564,7.909999847412109,9.850000381469727,22
2024-09-01,7.721500062942505,7.21999979019165,8.09000015258789,20
2024-10-01,8.02478263689124,7.53000020980835,8.430000305175781,23
2024-11-01,8.210000061988831,7.349999904632568,9.0,20
2024-12-01,7.804285662514823,7.110000133514404,8.229999542236328,21
2025-01-01,8.085999965667725,7.159999847412109,8.949999809265137,20
2025-02-01,7.984210616663883,6.900000095367432,9.09000015258789,19
2025-03-01,6.091000056266784,5.53000020980835,6.590000152587891,20
