ticker,z_score,model_used,risk_category,calculation_date,data_quality_score,warnings_count,warnings,working_capital_ratio,retained_earnings_ratio,ebit_ratio,market_equity_ratio,book_equity_ratio,asset_turnover,_calculation_metadata,ai_llm_commentary_available,ai_llm_commentary_length,ai_overall_confidence,ai_recommendations_count,forecast_available,forecast_scenarios_count,forecast_base_z_score,forecast_base_risk_category,forecast_base_confidence,forecast_z_score_min,forecast_z_score_max,forecast_z_score_avg,forecast_avg_confidence,analyst_coverage_quality,forecast_timestamp
SYK,0.35727482678983835,original,Distress,2025-06-30,1.0,1,Total liabilities missing - equity ratios may be inaccurate,0.12335153568884764,0.0,0.024022792514730957,0,0,0.129977768664609,"{'ebit_method': 'pre_calculated', 'warnings': ['Total liabilities missing or zero - equity ratio will be zero'], 'total_assets': 46331000000, 'total_liabilities': 0}",True,18750,0.85,0,True,3,0.359,DISTRESS,0.98,0.359,0.359,0.359,0.8493333333333334,0.641,2025-08-02 21:29:20.000114
SYK,4.3489454068931135,original,Safe,2025-03-31,1.0,0,,0.1107029517888971,0.40999000130417773,0.018193279137503803,5.757621556229064,0.8346626256181209,0.12750510802938747,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 46006000000, 'total_liabilities': 25076000000}",True,18750,0.85,0,True,3,0.359,DISTRESS,0.98,0.359,0.359,0.359,0.8493333333333334,0.641,2025-08-02 21:29:20.000114
SYK,4.878148145498654,original,Safe,2024-12-31,1.0,0,,0.16827627935119033,0.4311745130436806,0.013520746549998837,6.463630664099924,0.9237587858709764,0.14977542994112308,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 42971000000, 'total_liabilities': 22337000000}",True,18750,0.85,0,True,3,0.359,DISTRESS,0.98,0.359,0.359,0.359,0.8493333333333334,0.641,2025-08-02 21:29:20.000114
SYK,4.640968792971721,original,Safe,2024-09-30,1.0,0,,0.159788287363402,0.4175621107384847,0.024753039947071842,6.096019175139334,0.8507431177166019,0.12533935619282277,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 43833000000, 'total_liabilities': 23684000000}",True,18750,0.85,0,True,3,0.359,DISTRESS,0.98,0.359,0.359,0.359,0.8493333333333334,0.641,2025-08-02 21:29:20.000114
SYK,5.489541982809121,original,Safe,2024-06-30,1.0,0,,0.12059800664451827,0.45422949143879376,0.029593662151801686,7.454467066501445,1.0203428335398597,0.13856376181957578,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 39130000000, 'total_liabilities': 19368000000}",True,18750,0.85,0,True,3,0.359,DISTRESS,0.98,0.359,0.359,0.359,0.8493333333333334,0.641,2025-08-02 21:29:20.000114
SYK,5.260318780933047,original,Safe,2024-03-31,1.0,0,,0.12529820821278106,0.4378965534744429,0.02477031622760266,7.136832335343549,0.9477014335145824,0.13306431145627126,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 39402000000, 'total_liabilities': 20230000000}",True,18750,0.85,0,True,3,0.359,DISTRESS,0.98,0.359,0.359,0.359,0.8493333333333334,0.641,2025-08-02 21:29:20.000114
SYK,5.039484609842104,original,Safe,2023-12-31,1.0,0,,0.11517839246341953,0.42019943876528365,0.03149428743235117,6.772274409869131,0.872132839251372,0.145695530166366,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 39912000000, 'total_liabilities': 21319000000}",True,18750,0.85,0,True,3,0.359,DISTRESS,0.98,0.359,0.359,0.359,0.8493333333333334,0.641,2025-08-02 21:29:20.000114
SYK,5.211183828919774,original,Safe,2023-09-30,1.0,0,,0.09429052100310184,0.4188265601177646,0.02447295094895116,7.169792826339574,0.889159259075334,0.1290415856158982,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 38042000000, 'total_liabilities': 20137000000}",True,18750,0.85,0,True,3,0.359,DISTRESS,0.98,0.359,0.359,0.359,0.8493333333333334,0.641,2025-08-02 21:29:20.000114
