month,avg_price,min_price,max_price,days_with_data
2024-04-01,598.0140935724431,550.6400146484375,636.1799926757812,22
2024-05-01,618.8277254971591,551.7100219726562,654.6199951171875,22
2024-06-01,661.9163175884046,631.6199951171875,686.1199951171875,19
2024-07-01,653.7290954589844,622.5800170898438,690.6500244140625,22
2024-08-01,660.1918140758168,598.5499877929688,701.3499755859375,22
2024-09-01,694.7614959716797,665.77001953125,722.260009765625,20
2024-10-01,731.895215905231,687.6500244140625,772.0700073242188,23
2024-11-01,833.1884948730469,755.510009765625,897.7899780273438,20
2024-12-01,913.3076142810639,889.5499877929688,936.5599975585938,21
2025-01-01,905.8429992675781,828.4000244140625,984.8599853515625,20
2025-02-01,1009.7936786852384,963.0700073242188,1058.5999755859375,19
2025-03-01,941.2704956054688,866.6799926757812,997.280029296875,20
