ticker,z_score,model_used,risk_category,calculation_date,data_quality_score,warnings_count,warnings,working_capital_ratio,retained_earnings_ratio,ebit_ratio,market_equity_ratio,asset_turnover,inventory_adjustment,ai_llm_commentary_available,ai_llm_commentary_length,ai_overall_confidence,ai_recommendations_count,forecast_available,forecast_scenarios_count,forecast_base_z_score,forecast_base_risk_category,forecast_base_confidence,forecast_z_score_min,forecast_z_score_max,forecast_z_score_avg,forecast_avg_confidence,analyst_coverage_quality,forecast_timestamp
TGT,1.584708667534432,retail,Distress,2025-05-03,1.0,0,,0.08384800213580137,0.1487941621429207,0.026199163477796564,1.183678643581163,0.42441932900240276,0.10939096668710402,True,21639,0.85,0,True,3,1.538,DISTRESS,0.98,1.537,1.539,1.538,0.8493333333333334,0.643,2025-07-23 18:08:04.795193
TGT,1.6369714579008696,retail,Distress,2025-02-01,1.0,0,,0.11622150288216863,0.14004050615381952,0.003635167650469975,1.1324627033849153,0.5351486091156157,0.14965332286760857,True,21639,0.85,0,True,3,1.538,DISTRESS,0.98,1.537,1.539,1.538,0.8493333333333334,0.643,2025-07-23 18:08:04.795193
TGT,1.5927882658372492,retail,Distress,2024-11-02,1.0,0,,0.0920708684286959,0.13683347286053543,0.041431036544736975,1.10831796703147,0.43853684372383867,0.10097263435542368,True,21639,0.85,0,True,3,1.538,DISTRESS,0.98,1.537,1.539,1.538,0.8493333333333334,0.643,2025-07-23 18:08:04.795193
TGT,1.6289902665219096,retail,Distress,2024-08-03,1.0,0,,0.09490133047593535,0.14340566121975176,0.02919903562818109,1.1743381586873887,0.45454058398071256,0.11768089495398286,True,21639,0.85,0,True,3,1.538,DISTRESS,0.98,1.537,1.539,1.538,0.8493333333333334,0.643,2025-07-23 18:08:04.795193
TGT,1.6016062638716897,retail,Distress,2024-05-04,1.0,0,,0.09702995446051127,0.1364188907233703,0.023513616488560696,1.182560261259297,0.44507139358092784,0.12396277351520318,True,21639,0.85,0,True,3,1.538,DISTRESS,0.98,1.537,1.539,1.538,0.8493333333333334,0.643,2025-07-23 18:08:04.795193
TGT,1.7697020631107088,retail,Distress,2024-02-03,1.0,0,,0.10138015752583279,0.1281342582556543,0.03376327769347496,1.1643101780364469,0.5766131945949852,0.16407958943294632,True,21639,0.85,0,True,3,1.538,DISTRESS,0.98,1.537,1.539,1.538,0.8493333333333334,0.643,2025-07-23 18:08:04.795193
TGT,1.4878204125631447,retail,Distress,2023-10-28,1.0,0,,0.0687901260915186,0.11070799765245691,0.023422077575628236,1.116608484593389,0.45168863042202423,0.10266897472450388,True,21639,0.85,0,True,3,1.538,DISTRESS,0.98,1.537,1.539,1.538,0.8493333333333334,0.643,2025-07-23 18:08:04.795193
TGT,1.53764421037205,retail,Distress,2023-07-29,1.0,0,,0.0641656955982408,0.10839003119948878,0.022497462692177575,1.1843104596273293,0.4656053828515581,0.11693209292547041,True,21639,0.85,0,True,3,1.538,DISTRESS,0.98,1.537,1.539,1.538,0.8493333333333334,0.643,2025-07-23 18:08:04.795193
