week,avg_price,min_price,max_price,days_with_data
2024-01-29,204.77999877929688,195.63999938964844,218.75999450683594,3
2024-02-05,220.73799743652344,213.67999267578125,233.27999877929688,5
2024-02-12,231.68800048828126,227.57000732421875,236.0,5
2024-02-19,222.8125,216.2100067138672,229.33999633789062,4
2024-02-26,213.99199829101562,186.72000122070312,234.02999877929688,5
2024-03-04,168.70399780273436,162.39999389648438,177.92999267578125,5
2024-03-11,160.48799743652344,156.97000122070312,162.30999755859375,5
2024-03-18,158.8939971923828,156.30999755859375,163.0399932861328,5
2024-03-25,159.45000076293945,158.02000427246094,161.60000610351562,4
2024-04-01,154.98600158691406,151.33999633789062,160.52000427246094,5
2024-04-08,156.26400146484374,152.97000122070312,159.35000610351562,5
2024-04-15,148.98800048828124,145.4499969482422,151.97999572753906,5
2024-04-22,152.8000030517578,147.2100067138672,158.1300048828125,5
2024-04-29,157.17400207519532,155.1999969482422,159.32000732421875,5
2024-05-06,158.71399536132813,155.8699951171875,163.67999267578125,5
2024-05-13,162.40199584960936,159.7899932861328,165.0399932861328,5
2024-05-20,160.31400146484376,154.5800018310547,164.77999877929688,5
2024-05-27,144.01499938964844,136.17999267578125,150.74000549316406,4
2024-06-03,134.29399719238282,131.2100067138672,137.0,5
2024-06-10,127.72799987792969,125.9000015258789,130.3300018310547,5
2024-06-17,128.17250061035156,126.62000274658203,130.6699981689453,4
2024-06-24,129.43000030517578,124.20999908447266,135.08999633789062,5
2024-07-01,142.6425018310547,141.9199981689453,143.02000427246094,4
2024-07-08,138.09200134277344,135.75,141.57000732421875,5
2024-07-15,132.94400329589843,129.83999633789062,136.2100067138672,5
2024-07-22,129.59199981689454,125.62000274658203,132.60000610351562,5
2024-07-29,126.56000213623047,119.7699966430664,130.3800048828125,5
2024-08-05,117.71199951171874,112.62999725341797,124.41000366210938,5
2024-08-12,126.49599914550781,123.02999877929688,128.0399932861328,5
2024-08-19,125.89399871826171,115.20999908447266,135.05999755859375,5
2024-08-26,114.69400024414062,111.55999755859375,118.0,5
2024-09-02,110.38000106811523,108.55999755859375,111.75,4
2024-09-09,111.77799835205079,109.95999908447266,113.66999816894531,5
2024-09-16,111.90799713134766,110.2699966430664,114.0199966430664,5
2024-09-23,112.95800018310547,112.48999786376953,113.91999816894531,5
2024-09-30,111.98600158691406,109.6500015258789,114.86000061035156,5
2024-10-07,118.96599884033203,113.5199966430664,124.02999877929688,5
2024-10-14,120.6740005493164,118.9000015258789,123.16000366210938,5
2024-10-21,115.92599945068359,113.61000061035156,119.55999755859375,5
2024-10-28,117.00399932861328,114.81999969482422,118.98999786376953,5
2024-11-04,119.21799926757812,113.73999786376953,123.54000091552734,5
2024-11-11,126.98399963378907,123.5,130.72999572753906,5
2024-11-18,145.11600189208986,127.43000030517578,171.35000610351562,5
2024-11-25,172.79999923706055,171.27999877929688,174.8000030517578,4
2024-12-02,180.31399841308593,172.4199981689453,186.50999450683594,5
2024-12-09,172.38800048828125,167.6699981689453,180.75999450683594,5
2024-12-16,167.2739990234375,162.58999633789062,172.47000122070312,5
2024-12-23,161.65749740600586,158.64999389648438,163.47999572753906,4
2024-12-30,157.2775001525879,154.41000366210938,162.22000122070312,4
2025-01-06,161.35250091552734,158.83999633789062,163.0800018310547,4
2025-01-13,165.99599914550782,162.42999267578125,170.7899932861328,5
2025-01-20,175.02000045776367,173.52999877929688,177.49000549316406,4
2025-01-27,181.44400024414062,175.52000427246094,188.02000427246094,5
2025-02-03,186.19599609375,182.5399932861328,189.11000061035156,5
2025-02-10,187.43200073242187,183.5500030517578,192.66000366210938,5
2025-02-17,185.54750061035156,177.88999938964844,192.77999877929688,4
2025-02-24,170.4200012207031,164.1999969482422,177.10000610351562,5
2025-03-03,167.93800048828126,156.22000122070312,177.30999755859375,5
2025-03-10,151.15999755859374,147.58999633789062,156.11000061035156,5
2025-03-17,156.45800170898437,154.36000061035156,158.38999938964844,5
2025-03-24,158.6700012207031,150.6300048828125,163.1699981689453,5
2025-03-31,146.16000366210938,146.16000366210938,146.16000366210938,1
