ticker,z_score,model_used,risk_category,calculation_date,data_quality_score,warnings_count,warnings,working_capital_ratio,retained_earnings_ratio,ebit_ratio,market_equity_ratio,book_equity_ratio,asset_turnover,_calculation_metadata,ai_llm_commentary_available,ai_llm_commentary_length,ai_overall_confidence,ai_recommendations_count,forecast_available,forecast_scenarios_count,forecast_base_z_score,forecast_base_risk_category,forecast_base_confidence,forecast_z_score_min,forecast_z_score_max,forecast_z_score_avg,forecast_avg_confidence,analyst_coverage_quality,forecast_timestamp
NUE,3.2806433311330223,original,Safe,2025-07-05,1.0,1,Operating income (EBIT) missing - profitability ratios unavailable,0.221322734313353,0.8994067276499985,0.0,2.514596684950884,1.6022789783889981,0.24712862027647076,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 34217000000, 'total_liabilities': 12725000000}",True,19398,0.85,0,True,3,3.328,SAFE,0.869,3.327,3.33,3.328333333333333,0.753,0.533,2025-08-02 21:12:53.871276
NUE,3.15865672887843,original,Safe,2025-04-05,1.0,0,,0.2219372316205078,0.8732240122193723,0.009337444883137843,2.355583246171967,1.47739988221437,0.22565491800916454,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 34699000000, 'total_liabilities': 13584000000}",True,19398,0.85,0,True,3,3.328,SAFE,0.869,3.327,3.33,3.328333333333333,0.753,0.533,2025-08-02 21:12:53.871276
NUE,3.2929644691168933,original,Safe,2024-12-31,1.0,0,,0.22091926929876252,0.8918974661166765,0.011401384796700059,2.5551579346801883,1.6205382096941627,0.20848556275780789,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 33940000000, 'total_liabilities': 12523000000}",True,19398,0.85,0,True,3,3.328,SAFE,0.869,3.327,3.33,3.328333333333333,0.753,0.533,2025-08-02 21:12:53.871276
NUE,3.2848058979355477,original,Safe,2024-09-28,1.0,0,,0.24178608335346413,0.876768722330811,0.014944218996511141,2.501885729163816,1.6007363766795808,0.21673902646147866,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 34346191000, 'total_liabilities': 12789650000}",True,19398,0.85,0,True,3,3.328,SAFE,0.869,3.327,3.33,3.328333333333333,0.753,0.533,2025-08-02 21:12:53.871276
NUE,3.426583368777721,original,Safe,2024-06-29,1.0,0,,0.2747637612448068,0.8773332338751609,0.025941762852226363,2.5778596914760885,1.669539795356649,0.23627669556072836,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 34185225000, 'total_liabilities': 12412717000}",True,19398,0.85,0,True,3,3.328,SAFE,0.869,3.327,3.33,3.328333333333333,0.753,0.533,2025-08-02 21:12:53.871276
NUE,3.5321708322975622,original,Safe,2024-03-30,1.0,0,,0.3240755882446119,0.8686676573582426,0.03471595467770229,2.621301473596392,1.695232475514471,0.23980187150823584,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 33932525000, 'total_liabilities': 12207006000}",True,19398,0.85,0,True,3,3.328,SAFE,0.869,3.327,3.33,3.328333333333333,0.753,0.533,2025-08-02 21:12:53.871276
NUE,3.3074008097720444,original,Safe,2023-12-31,1.0,0,,0.3336497597275013,0.8138550901615735,0.02939169025315687,2.4210380707201358,1.584401757013546,0.21800855160534094,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 35340499000, 'total_liabilities': 13216745000}",True,19398,0.85,0,True,3,3.328,SAFE,0.869,3.327,3.33,3.328333333333333,0.753,0.533,2025-08-02 21:12:53.871276
NUE,3.4656157511282273,original,Safe,2023-09-30,1.0,0,,0.3404097364212558,0.8203105097014438,0.04479519044504363,2.5079540066138377,1.6040592367375244,0.2560928214037522,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 34267786000, 'total_liabilities': 12758704000}",True,19398,0.85,0,True,3,3.328,SAFE,0.869,3.327,3.33,3.328333333333333,0.753,0.533,2025-08-02 21:12:53.871276
