week,avg_price,min_price,max_price,days_with_data
2024-04-01,76.4540008544922,74.91999816894531,77.16000366210938,5
2024-04-08,75.19599914550781,74.3499984741211,76.18000030517578,5
2024-04-15,71.99400024414062,69.19999694824219,74.12999725341797,5
2024-04-22,69.5000015258789,68.9800033569336,70.80000305175781,5
2024-04-29,67.8520004272461,66.2699966430664,69.2300033569336,5
2024-05-06,68.6520004272461,66.4000015258789,71.51000213623047,5
2024-05-13,65.93600006103516,65.31999969482422,66.62000274658203,5
2024-05-20,64.39200134277344,63.599998474121094,65.4800033569336,5
2024-05-27,64.28250026702881,63.52000045776367,64.93000030517578,4
2024-06-03,66.4740005493164,63.790000915527344,69.30999755859375,5
2024-06-10,70.45199890136719,68.5999984741211,73.1500015258789,5
2024-06-17,70.33250045776367,70.20999908447266,70.48999786376953,4
2024-06-24,71.15799865722656,70.33999633789062,72.68000030517578,5
2024-07-01,71.03249931335449,70.66999816894531,71.30000305175781,4
2024-07-08,71.55999908447265,69.2699966430664,73.52999877929688,5
2024-07-15,69.75600128173828,66.26000213623047,74.30000305175781,5
2024-07-22,66.30599975585938,64.4000015258789,67.7300033569336,5
2024-07-29,62.26600036621094,58.9900016784668,64.47000122070312,5
2024-08-05,65.2880012512207,58.47999954223633,69.01000213623047,5
2024-08-12,71.40400085449218,69.26000213623047,72.7300033569336,5
2024-08-19,73.71600036621093,73.30999755859375,74.30000305175781,5
2024-08-26,72.47799835205078,71.8499984741211,73.12999725341797,5
2024-09-02,71.06999969482422,69.58000183105469,71.88999938964844,4
2024-09-09,69.89400024414063,68.08999633789062,72.4800033569336,5
2024-09-16,73.40399932861328,71.5199966430664,75.27999877929688,5
2024-09-23,76.34600067138672,74.70999908447266,77.44000244140625,5
2024-09-30,73.89800109863282,72.87000274658203,75.16000366210938,5
2024-10-07,78.57799835205078,74.58999633789062,86.33999633789062,5
2024-10-14,81.82000122070312,79.16000366210938,84.94000244140625,5
2024-10-21,79.34000091552734,77.62000274658203,80.45999908447266,5
2024-10-28,76.3260009765625,72.05000305175781,79.43000030517578,5
2024-11-04,73.38600006103516,72.04000091552734,74.36000061035156,5
2024-11-11,71.77400207519531,71.16000366210938,73.25,5
2024-11-18,69.84199981689453,69.12999725341797,71.51000213623047,5
2024-11-25,72.13999938964844,71.55999755859375,73.41999816894531,4
2024-12-02,69.56399993896484,65.2300033569336,73.06999969482422,5
2024-12-09,62.64399948120117,59.93000030517578,65.73999786376953,5
2024-12-16,60.689999389648435,60.209999084472656,61.22999954223633,5
2024-12-23,61.56750011444092,61.130001068115234,61.869998931884766,4
2024-12-30,62.21249866485596,60.31999969482422,64.58999633789062,4
2025-01-06,65.83500099182129,64.91000366210938,66.30999755859375,4
2025-01-13,66.69599761962891,64.83999633789062,68.58000183105469,5
2025-01-20,68.10499954223633,67.73999786376953,68.55999755859375,4
2025-01-27,67.40599822998047,66.58999633789062,68.7699966430664,5
2025-02-03,69.22200012207031,64.4800033569336,74.5999984741211,5
2025-02-10,78.92799835205078,76.94999694824219,80.29000091552734,5
2025-02-17,80.70000076293945,78.88999938964844,81.48999786376953,4
2025-02-24,75.49199981689453,74.20999908447266,76.41999816894531,5
2025-03-03,75.48200073242188,74.44000244140625,76.4800033569336,5
2025-03-10,71.19400024414062,69.51000213623047,73.05999755859375,5
2025-03-17,73.49799957275391,71.55000305175781,75.83999633789062,5
2025-03-24,74.78200073242188,72.75,76.51000213623047,5
2025-03-31,70.96399993896485,64.62000274658203,74.5,5
2025-04-07,69.3220001220703,65.06999969482422,72.68000030517578,5
2025-04-14,73.8549976348877,73.05999755859375,75.23999786376953,4
2025-04-21,75.39599914550782,72.91999816894531,78.0999984741211,5
2025-04-28,80.78600006103515,78.33000183105469,84.27999877929688,5
2025-05-05,84.00400085449219,82.30000305175781,85.83000183105469,5
2025-05-12,90.43600158691406,88.0999984741211,91.79000091552734,5
2025-05-19,89.75,87.75,92.45999908447266,5
2025-05-26,87.1866683959961,84.30000305175781,89.0,3
