ticker,z_score,model_used,risk_category,calculation_date,data_quality_score,warnings_count,warnings,working_capital_ratio,retained_earnings_ratio,ebit_ratio,market_equity_ratio,book_equity_ratio,asset_turnover,_calculation_metadata,ai_llm_commentary_available,ai_llm_commentary_length,ai_overall_confidence,ai_recommendations_count,forecast_available,forecast_scenarios_count,forecast_base_z_score,forecast_base_risk_category,forecast_base_confidence,forecast_z_score_min,forecast_z_score_max,forecast_z_score_avg,forecast_avg_confidence,analyst_coverage_quality,forecast_timestamp
EW,11.673107277352079,original,Safe,2025-03-31,1.0,0,,0.36997304623607197,1.0386030117567557,0.03147677445612526,15.937898182075106,3.5781608789345394,0.10848314045905869,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 13022300000, 'total_liabilities': 2830700000}",True,19399,0.85,0,True,3,11.72,SAFE,0.992,11.715,11.725,11.719999999999999,0.86,0.648,2025-07-23 17:25:17.602428
EW,11.082521303486425,original,Safe,2024-12-31,1.0,0,,0.36615014591774986,1.0085559121582806,0.02394429848414054,15.076663675979146,3.3412645368266274,0.10614846077838119,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 13055300000, 'total_liabilities': 2992400000}",True,19399,0.85,0,True,3,11.72,SAFE,0.992,11.715,11.725,11.719999999999999,0.86,0.648,2025-07-23 17:25:17.602428
EW,10.083590304125106,original,Safe,2024-09-30,1.0,0,,0.3687862341186629,0.9853675835697545,0.03039811274207475,13.42800416215251,2.8411214953271027,0.10441593684470211,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 12971200000, 'total_liabilities': 3359800000}",True,19399,0.85,0,True,3,11.72,SAFE,0.992,11.715,11.725,11.719999999999999,0.86,0.648,2025-07-23 17:25:17.602428
EW,12.427013986689266,original,Safe,2024-06-30,1.0,0,,0.32665630291208303,0.9615121840127534,0.03611141366233303,17.38752394650634,2.866381469919451,0.13722733258740705,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 10099300000, 'total_liabilities': 2594700000}",True,19399,0.85,0,True,3,11.72,SAFE,0.992,11.715,11.725,11.719999999999999,0.86,0.648,2025-07-23 17:25:17.602428
EW,12.649050148783415,original,Safe,2024-03-31,1.0,0,,0.3142569559278165,0.9597382989431303,0.044955475899468994,17.69301085689635,2.7914428016784973,0.1641485985435946,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 9736300000, 'total_liabilities': 2549900000}",True,19399,0.85,0,True,3,11.72,SAFE,0.992,11.715,11.725,11.719999999999999,0.86,0.648,2025-07-23 17:25:17.602428
EW,12.252194527713998,original,Safe,2023-12-31,1.0,0,,0.3033471462747779,0.9603981544771019,0.042731117566643884,17.064607150313943,2.5153188592177926,0.16384355775803144,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 9363200000, 'total_liabilities': 2643800000}",True,19399,0.85,0,True,3,11.72,SAFE,0.992,11.715,11.725,11.719999999999999,0.86,0.648,2025-07-23 17:25:17.602428
EW,12.194954712514365,original,Safe,2023-09-30,1.0,0,,0.30185256328168353,0.9201455585435608,0.04464933623596705,17.065252632295646,2.5182509361879184,0.15803346565928203,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 9370800000, 'total_liabilities': 2643700000}",True,19399,0.85,0,True,3,11.72,SAFE,0.992,11.715,11.725,11.719999999999999,0.86,0.648,2025-07-23 17:25:17.602428
EW,12.486787796874532,original,Safe,2023-06-30,1.0,0,,0.27652154597956463,0.9148822745446469,0.03633940470901821,17.64043338572825,2.492942326490714,0.16994669035984006,"{'ebit_method': 'pre_calculated', 'warnings': [], 'total_assets': 9004000000, 'total_liabilities': 2557500000}",True,19399,0.85,0,True,3,11.72,SAFE,0.992,11.715,11.725,11.719999999999999,0.86,0.648,2025-07-23 17:25:17.602428
