month,avg_price,min_price,max_price,days_with_data
2024-04-01,1.8813636357134038,1.690000057220459,2.25,22
2024-05-01,1.6668181744488804,1.4900000095367432,1.9199999570846558,22
2024-06-01,1.4284210518786782,1.309999942779541,1.6399999856948853,19
2024-07-01,1.5459090850569985,1.350000023841858,1.7599999904632568,22
2024-08-01,1.2770454558459194,1.159999966621399,1.440000057220459,22
2024-09-01,1.3004999995231628,1.2200000286102295,1.3899999856948853,20
2024-10-01,1.3213043316550876,1.2599999904632568,1.559999942779541,23
2024-11-01,1.3115000247955322,1.1299999952316284,1.649999976158142,20
2024-12-01,1.1771428698585147,1.090000033378601,1.340000033378601,21
2025-01-01,1.0645999968051911,0.972000002861023,1.149999976158142,20
2025-02-01,0.8540526314785606,0.7459999918937683,1.090000033378601,19
2025-03-01,0.737600001692772,0.6610000133514404,0.8410000205039978,20
